No,Classification,label,notation,easting,northing,lat,long,easting_count,northing_count,coordinate,wiskiID,dateOpened,datum,boreholeDepth,aquifer,dipped,logged,amount_dipped,start_dipped,end_dipped,amount_logged,start_logged,end_logged,CHARACTER,FLOW_MECHA,Elevation,distance,Top aquifer
478,No trend,Atcham,fa48a89b-19cb-4d55-87b5-4762ad5ff6ba,354235,309205,52.678591,-2.678333,1,1,,0012GW,3/8/1974,47.26,,,http://environment.data.gov.uk/hydrology/id/measures/fa48a89b-19cb-4d55-87b5-4762ad5ff6ba-gw-dipped-i-mAOD-qualified,,701,3/8/1974,1/25/2024,,,,Highly productive aquifer,Significant intergranular flow,47.04729462,2790.345503,Permian Sandstones
479,No trend,Cambridge Road,3371ea6d-1b50-4e6e-b3d5-bb88cb6ca903,553847,248319,52.111791,0.245284,1,1,,TL54_028,1/7/1980,33.99,,,http://environment.data.gov.uk/hydrology/id/measures/3371ea6d-1b50-4e6e-b3d5-bb88cb6ca903-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/3371ea6d-1b50-4e6e-b3d5-bb88cb6ca903-gw-logged-i-subdaily-mAOD-qualified,515,1/7/1980,12/20/2023,103708,1/10/2012,11/9/2023,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,33.49882889,55136.39767,Chalk
480,Slow increasing,Chidden Farm,7346ae57-32ed-401e-8584-7e1d9b833348,465785,117755,50.955476,-1.064766,1,1,,143306272,11/5/1958,104.79,41.2,Seaford Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/7346ae57-32ed-401e-8584-7e1d9b833348-gw-dipped-i-mAOD-qualified,,840,11/5/1958,1/22/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,102.8194199,36579.53766,Chalk
481,,Brick House Farm,9e4b7eba-22ec-4a4f-840f-7fd092d50cd9,446427,441784,53.870182,-1.295414,1,1,,SE44BHF0ML,10/3/1979,54.2,,ML,http://environment.data.gov.uk/hydrology/id/measures/9e4b7eba-22ec-4a4f-840f-7fd092d50cd9-gw-dipped-i-mAOD-qualified,,515,10/3/1979,12/21/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,54.3529892,526.383154,Magnesian Limestone
482,Slow increasing,Sandhill Farm,b01b67b4-df44-4c73-820a-e4a9f38ad8bd,420701,487699,54.284495,-1.683524,1,1,,SE28SHF0MG,7/23/2001,133.46,,MG,http://environment.data.gov.uk/hydrology/id/measures/b01b67b4-df44-4c73-820a-e4a9f38ad8bd-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/b01b67b4-df44-4c73-820a-e4a9f38ad8bd-gw-logged-i-subdaily-mAOD-qualified,211,7/23/2001,5/31/2023,265969,7/23/2001,5/31/2023,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,125.6018448,3627.130643,Carboniferous Limestones
483,,Grayshott,95877977-32c5-4955-9505-b9aeb4124899,487155,135115,51.108712,-0.756413,1,1,,SU83_9,9/30/1976,171.3,16,Lower Greensand,http://environment.data.gov.uk/hydrology/id/measures/95877977-32c5-4955-9505-b9aeb4124899-gw-dipped-i-mAOD-qualified,,124,9/30/1976,10/31/2023,,,,Highly productive aquifer,Significant intergranular flow,174.2858124,15904.4946,Lower Greensand
484,Slow decreasing,Ryton,9315edcd-905f-4fd8-b339-04bb9f1f48f9,372895,231995,51.985737,-2.396092,1,1,,0601GW,4/4/1996,43.74,,,http://environment.data.gov.uk/hydrology/id/measures/9315edcd-905f-4fd8-b339-04bb9f1f48f9-gw-dipped-i-mAOD-qualified,,293,4/4/1996,1/18/2024,,,,Highly productive aquifer,Significant intergranular flow,45.05260849,349.7928054,Triassic sandstones
485,,Chat Moss,9316e303-af38-41ab-a3b5-c98fa4dde049,370420,395620,53.456483,-2.446927,1,1,,SJ79_91,3/6/1981,26.82,,,,http://environment.data.gov.uk/hydrology/id/measures/9316e303-af38-41ab-a3b5-c98fa4dde049-gw-logged-i-subdaily-mAOD-qualified,,,,130388,3/6/1981,9/18/2023,Highly productive aquifer,Significant intergranular flow,25.92305756,3528.180207,Triassic sandstones
486,Slow decreasing,Downham Highlodge,963475f9-d90e-4bed-9daa-9de346daf21c,582093,284646,52.429455,0.676917,1,1,,TL88_015,2/18/1976,45.15,,,,http://environment.data.gov.uk/hydrology/id/measures/963475f9-d90e-4bed-9daa-9de346daf21c-gw-logged-i-subdaily-mAOD-qualified,,,,87511,2/18/1976,11/3/2021,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,44.16238403,56355.23388,Chalk
487,Slow decreasing,Skewter Plantation,f07244ec-ed2c-48d2-bfe6-ca92779169b9,596417,283588,52.415003,0.886703,1,1,,TL98_027,10/23/1973,32.02,,,http://environment.data.gov.uk/hydrology/id/measures/f07244ec-ed2c-48d2-bfe6-ca92779169b9-gw-dipped-i-mAOD-qualified,,565,10/23/1973,9/2/2021,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,31.26609421,70208.15946,Chalk
488,,Welton Wold 2,d4c4ad4b-c47e-4d4c-9adc-3f8258c95129,498214,429168,53.749625,-0.512071,1,1,,SE92WLW2CC,11/19/1990,79.74,,CC,http://environment.data.gov.uk/hydrology/id/measures/d4c4ad4b-c47e-4d4c-9adc-3f8258c95129-gw-dipped-i-mAOD-qualified,,382,11/19/1990,2/20/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,79.06873322,4832.03975,Chalk
489,,Longwood Owslebury,17a890f7-db69-4c35-ab07-5bd16abc7c72,454185,123415,51.007572,-1.229059,1,1,,142501630,4/23/1980,77,37.2,Seaford Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/17a890f7-db69-4c35-ab07-5bd16abc7c72-gw-dipped-i-mAOD-qualified,,405,4/23/1980,1/22/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,76.91307068,45858.05783,Chalk
490,Slow increasing,Lower Wield Farm,671106ae-40c9-4272-8389-55ba3be11744,463605,140495,51.160175,-1.091809,1,1,,142203071,10/15/1958,158.95,76.1,Chalk Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/671106ae-40c9-4272-8389-55ba3be11744-gw-dipped-i-mAOD-qualified,,844,10/15/1958,1/31/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,158.4697418,37442.65743,Chalk
491,,Moor Hall,1f75687f-6590-4dfd-aa55-2cba00dae420,341280,405210,53.540224,-2.887523,1,1,,SD40_137,11/4/1983,48.15,100,Wilmslow Sandstone,,http://environment.data.gov.uk/hydrology/id/measures/1f75687f-6590-4dfd-aa55-2cba00dae420-gw-logged-i-subdaily-mAOD-qualified,,,,131348,11/4/1983,9/18/2023,Highly productive aquifer,Significant intergranular flow,48.28928375,3271.441668,Triassic sandstones
492,Slow increasing,Hampshire Bowman,9496292a-dfd2-400b-9ef4-21af30708620,457779,118438,50.962474,-1.178628,1,1,,142502790,1/23/1974,55,15.4,Lewes Nodular Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/9496292a-dfd2-400b-9ef4-21af30708620-gw-dipped-i-mAOD-qualified,,314,1/23/1974,10/24/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,54.51980972,44363.38028,Chalk
493,,Wood Lane,34e3b8dd-178f-4d54-a55f-633a1f9926a5,354445,364875,53.179005,-2.683063,1,1,,SJ56_85,9/17/1984,79.79,,,http://environment.data.gov.uk/hydrology/id/measures/34e3b8dd-178f-4d54-a55f-633a1f9926a5-gw-dipped-i-mAOD-qualified,,127,9/17/1984,6/2/2021,,,,Highly productive aquifer,Significant intergranular flow,79.02075195,913.814088,Triassic sandstones
494,No trend,Freckenham Road,5d07689a-799e-4371-8c2e-db00ecdf69c0,567377,272459,52.324693,0.454611,1,1,,TL67_077,1/1/1900,13.83,,,http://environment.data.gov.uk/hydrology/id/measures/5d07689a-799e-4371-8c2e-db00ecdf69c0-gw-dipped-i-mAOD-qualified,,515,1/1/1900,1/10/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,13.35249996,49966.76794,Chalk
495,Slow increasing,Gilbert Street,eece2041-3a0a-4585-ab53-b0b6c744b3fc,465315,132555,51.088596,-1.068795,1,1,,142202707,10/22/1984,130.84,96,Seaford Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/eece2041-3a0a-4585-ab53-b0b6c744b3fc-gw-dipped-i-mAOD-qualified,,188,10/22/1984,10/24/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,129.853775,36479.39123,Chalk
496,,Cliff Farm,1d15b566-a17b-4c36-9c2a-b99b9d4b7e6b,467825,346875,53.01488,-0.990461,1,1,,1826GW,11/28/1975,20.27,,,http://environment.data.gov.uk/hydrology/id/measures/1d15b566-a17b-4c36-9c2a-b99b9d4b7e6b-gw-dipped-i-mAOD-qualified,,495,11/28/1975,1/4/2024,,,,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,19.64882851,4911.041148,Triassic sandstones
497,Slow decreasing,Tentworth,870b3c31-0948-401b-a02c-7b557900f80d,485285,124255,51.01136,-0.785675,1,1,,244340023,1/24/1984,88.19,65,Hythe Formation (Lower Greensand),http://environment.data.gov.uk/hydrology/id/measures/870b3c31-0948-401b-a02c-7b557900f80d-gw-dipped-i-mAOD-qualified,,326,1/24/1984,1/9/2024,,,,Highly productive aquifer,Significant intergranular flow,89.94337463,16415.98443,Lower Greensand
498,,Victoria road,40a54731-a20e-45dc-b815-87feb06acb1d,328085,408245,53.565855,-3.087294,1,1,,SD20_17,6/9/1999,14.25,17.5,Blown Sands,,http://environment.data.gov.uk/hydrology/id/measures/40a54731-a20e-45dc-b815-87feb06acb1d-gw-logged-i-subdaily-mAOD-qualified,,,,119570,6/9/1999,9/17/2023,Low productivity aquifer,Flow is virtually all through fractures and other discontinuities,14.97536755,3680.077336,Triassic sandstones
499,Slow decreasing,Chawley Manor,b0c072d6-c4fe-4150-9a59-f9f4adee8884,481105,195795,51.655097,-0.828977,1,1,,SU89_94,10/5/1995,103.77,11.55,Chalk,http://environment.data.gov.uk/hydrology/id/measures/b0c072d6-c4fe-4150-9a59-f9f4adee8884-gw-dipped-i-mAOD-qualified,,312,10/5/1995,1/26/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,104.3001556,16844.96331,Chalk
500,,Patching Pond,d381c5f1-f7b6-4577-8811-a0d769cc46b4,508625,105555,50.839335,-0.458656,1,1,,244140021,6/27/2002,25.4,70,Chalk Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/d381c5f1-f7b6-4577-8811-a0d769cc46b4-gw-dipped-i-mAOD-qualified,,249,6/27/2002,1/18/2024,,,,Low productivity aquifer,Significant intergranular flow,24.93491745,19269.15921,Chalk
501,No trend,Longwall Cottage,8e969947-f58c-4635-9db9-e754946d0668,458692,190689,51.611975,-1.153777,1,1,,SU59_117,1/19/1976,54.61,11,Upper Greensand,http://environment.data.gov.uk/hydrology/id/measures/8e969947-f58c-4635-9db9-e754946d0668-gw-dipped-i-mAOD-qualified,,1353,1/19/1976,11/3/2023,,,,Moderately productive aquifer,Significant intergranular flow,54.75060272,13125.34476,Lower Greensand
502,,Roall,b49322b3-ba45-472c-845f-81654e516861,456805,424386,53.712797,-1.140803,1,1,,SE52ROA0SS,7/8/1988,13.42,,SS,http://environment.data.gov.uk/hydrology/id/measures/b49322b3-ba45-472c-845f-81654e516861-gw-dipped-i-mAOD-qualified,,381,7/8/1988,2/20/2024,,,,Highly productive aquifer,Significant intergranular flow,13.4454689,582.7354272,Triassic sandstones
503,Sudden upward change,Thornwood common,336fa66d-b8f8-4a06-9674-6281b44df3d9,546317,205512,51.72923,0.117229,1,1,,TL40_46,1/5/1998,89.89,192,Chalk,http://environment.data.gov.uk/hydrology/id/measures/336fa66d-b8f8-4a06-9674-6281b44df3d9-gw-dipped-i-mAOD-qualified,,286,1/5/1998,11/7/2023,,,,Rocks with essentially no groundwater,,88.97563934,22756.08531,Chalk
504,No trend,Sunnyside Over Wallop,4d09973d-6987-4d79-8ede-01b928cc5eee,428255,139755,51.156352,-1.597357,1,1,,141808449,2/15/1964,92.65,22,Seaford Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/4d09973d-6987-4d79-8ede-01b928cc5eee-gw-dipped-i-mAOD-qualified,,612,2/15/1964,5/27/2022,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,91.68016815,22103.14239,Chalk
505,Slow decreasing,Hazelberry Plantation,3a6a2408-b6fa-458c-9b28-e572d0d56da0,423290,153270,51.278098,-1.667476,1,1,,G432410,12/16/1999,,,,,http://environment.data.gov.uk/hydrology/id/measures/3a6a2408-b6fa-458c-9b28-e572d0d56da0-gw-logged-i-subdaily-mAOD-qualified,,,,849737,12/16/1999,3/13/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,150.2202454,27376.45886,Chalk
506,,Grafton Lock,b91aed64-bd88-4f8a-a9e0-20514ba0abfa,427205,199295,51.691747,-1.607818,1,2,,SU29_74,1/16/1974,69.94,127,Great Oolite,http://environment.data.gov.uk/hydrology/id/measures/b91aed64-bd88-4f8a-a9e0-20514ba0abfa-gw-dipped-i-mAOD-qualified,,2001,1/16/1974,2/16/2024,,,,Rocks with essentially no groundwater,,68.97074127,9476.726503,Oolites
507,Slow increasing,Hartlebury,45ea384c-d1a4-447b-bff0-dd56d5ac74a5,384535,269525,52.323593,-2.22832,1,1,,0159GW,1/3/2018,66.11,,,http://environment.data.gov.uk/hydrology/id/measures/45ea384c-d1a4-447b-bff0-dd56d5ac74a5-gw-dipped-i-mAOD-qualified,,615,8/9/1978,1/22/2024,,,,Highly productive aquifer,Significant intergranular flow,68.52113342,237.7752294,Triassic sandstones
508,Slow decreasing,Peafield,68b3862d-a025-46d8-bdda-7ebe9f86c6df,456315,364615,53.17566,-1.158901,1,1,,1732GW,10/28/1969,112.92,,,http://environment.data.gov.uk/hydrology/id/measures/68b3862d-a025-46d8-bdda-7ebe9f86c6df-gw-dipped-i-mAOD-qualified,,1100,10/28/1969,1/9/2024,,,,Highly productive aquifer,Significant intergranular flow,111.5465622,3568.293156,Triassic sandstones
509,,Cranwich Road,342c2cc1-36eb-453e-8b33-3e0ec00af8a5,579925,293545,52.510088,0.649864,1,1,,TL79_031,1/14/1983,21.29,,,http://environment.data.gov.uk/hydrology/id/measures/342c2cc1-36eb-453e-8b33-3e0ec00af8a5-gw-dipped-i-mAOD-qualified,,2858,1/14/1983,7/7/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,20.83558655,51641.72429,Chalk
510,,Ellerholme Farm,f796fe0b-80fd-47ed-9c77-7c92dc79a3e0,469875,403405,53.522665,-0.947509,2,1,,1805GW,4/2/1980,2.35,,,http://environment.data.gov.uk/hydrology/id/measures/f796fe0b-80fd-47ed-9c77-7c92dc79a3e0-gw-dipped-i-mAOD-qualified,,488,4/2/1980,1/10/2024,,,,Highly productive aquifer,Significant intergranular flow,1.85598433,1632.606395,Triassic sandstones
511,Slow increasing,Fockbury Mill,c971edca-6c1e-42d6-9e43-815505a9d4a3,394865,272135,52.347254,-2.076798,1,1,,1903,10/18/2002,100.08,,,,http://environment.data.gov.uk/hydrology/id/measures/c971edca-6c1e-42d6-9e43-815505a9d4a3-gw-logged-i-subdaily-mAOD-qualified,,,,187170,10/18/2002,3/1/2024,Highly productive aquifer,Significant intergranular flow,100.121376,885.2544742,Triassic sandstones
512,,Heighington,ccf16655-63e0-4337-9c76-2c663b43d70f,503035,368725,53.205608,-0.458798,1,1,,2_551,2/2/1972,26.11,,Lincolnshire Limestone,http://environment.data.gov.uk/hydrology/id/measures/ccf16655-63e0-4337-9c76-2c663b43d70f-gw-dipped-i-mAOD-qualified,,693,2/2/1972,1/4/2024,,,,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,26.23924255,1028.843694,Oolites
513,,St Marys Farm Falmer,de10a81d-c2e7-4324-8848-112fc79b48e2,534709,110485,50.878165,-0.086594,1,1,,242601057,1/19/1977,96.71,150,Chalk Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/de10a81d-c2e7-4324-8848-112fc79b48e2-gw-dipped-i-mAOD-qualified,,521,1/19/1977,1/26/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,95.77396393,8801.075402,Chalk
514,No trend,Hill Farm Cottage,e5d31710-69f1-4d4c-b4a2-241089c4731d,397915,193005,51.635842,-2.031516,1,1,,ST99_64B,2/6/1975,94.48,3,Cornbrash Formation,http://environment.data.gov.uk/hydrology/id/measures/e5d31710-69f1-4d4c-b4a2-241089c4731d-gw-dipped-i-mAOD-qualified,,597,2/6/1975,1/17/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,94.61988831,5922.877409,Oolites
515,,Elms Vale,69669b71-a73b-457a-8159-5fc72c8eff3c,628860,140869,51.121365,1.268973,1,1,,644012002,9/9/2004,58.89,,,,http://environment.data.gov.uk/hydrology/id/measures/69669b71-a73b-457a-8159-5fc72c8eff3c-gw-logged-i-subdaily-mAOD-qualified,,,,158860,9/9/2004,6/21/2023,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,58.82632828,35927.63447,Chalk
516,,Elloughton,7c0944f3-d66e-45c4-9cdd-8fa230c9ffd6,493890,428182,53.741561,-0.577921,1,1,,SE92EBD0JK,12/3/1985,15.14,,JK,http://environment.data.gov.uk/hydrology/id/measures/7c0944f3-d66e-45c4-9cdd-8fa230c9ffd6-gw-dipped-i-mAOD-qualified,,458,12/3/1985,2/20/2024,,,,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,14.42639828,1476.537494,Triassic sandstones
517,Slow decreasing,Hayes Farm,26494e7a-e7bc-4318-9c8a-b5d274282307,372655,229135,51.960012,-2.399358,1,1,,0162GW,2/19/1973,60.44,,,http://environment.data.gov.uk/hydrology/id/measures/26494e7a-e7bc-4318-9c8a-b5d274282307-gw-dipped-i-mAOD-qualified,,683,2/19/1973,1/17/2024,,,,Highly productive aquifer,Significant intergranular flow,59.5283432,1270.582374,Triassic sandstones
518,Slow increasing,Odstock,260d2c1b-b034-4e10-abeb-380917eb2a2d,414140,126240,51.035346,-1.799709,1,1,,90112111,5/20/2005,,,,http://environment.data.gov.uk/hydrology/id/measures/260d2c1b-b034-4e10-abeb-380917eb2a2d-gw-dipped-i-mAOD-qualified,,210,5/20/2005,1/19/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,59.83287811,6279.547803,Chalk
519,,East Dean Down,04380c87-809b-470a-bc10-b627d80e3a54,556409,97729,50.758082,0.216189,1,1,,341503011,6/29/1971,77.71,101,Chalk Group (undivided),http://environment.data.gov.uk/hydrology/id/measures/04380c87-809b-470a-bc10-b627d80e3a54-gw-dipped-i-mAOD-qualified,,274,6/29/1971,1/10/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,80.96086121,10861.25166,Chalk
520,No trend,Helshaw Grange,a59dc94d-297b-4fbd-a0f3-1c44d535c784,363365,329135,52.858439,-2.545536,1,1,,0170GW,12/1/1972,66.75,,,http://environment.data.gov.uk/hydrology/id/measures/a59dc94d-297b-4fbd-a0f3-1c44d535c784-gw-dipped-i-mAOD-qualified,,671,12/1/1972,1/17/2024,,,,Highly productive aquifer,Significant intergranular flow,68.24417877,1323.542008,Permian Sandstones
521,Slow decreasing,Cockley Cley Estate,6f02c6c4-c14a-471a-8db5-1d8ad47dfc87,581689,305412,52.616069,0.682323,1,1,,TF80_194L,6/1/1998,33.5,,,,http://environment.data.gov.uk/hydrology/id/measures/6f02c6c4-c14a-471a-8db5-1d8ad47dfc87-gw-logged-i-subdaily-mAOD-qualified,,,,199781,6/1/1998,3/16/2021,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,30.61445236,52079.7216,Chalk
522,No trend,Malthouse,22ba9506-7909-40a1-8bf3-805b06a0e0eb,447653,182373,51.538249,-1.314311,1,1,,SU48_34,4/20/1964,130.51,23,Upper Greensand,http://environment.data.gov.uk/hydrology/id/measures/22ba9506-7909-40a1-8bf3-805b06a0e0eb-gw-dipped-i-mAOD-qualified,,2260,4/20/1964,2/26/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,130.534729,25296.6164,Chalk
523,,Dunston Heath,2e684f96-4d72-4122-8fc4-3dc4704d7dca,504835,362615,53.150355,-0.43386,1,1,,2_553,8/7/1978,38.96,,Lincolnshire Limestone,http://environment.data.gov.uk/hydrology/id/measures/2e684f96-4d72-4122-8fc4-3dc4704d7dca-gw-dipped-i-mAOD-qualified,,579,8/7/1978,1/4/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,38.90504074,3356.184094,Oolites
524,,Mamhead Bottom,ee52ed1a-57fe-4123-9251-3fadf75dd1ee,292214,80512,50.614327,-3.524827,1,1,,SX98G061,9/14/2006,211.82,,,,http://environment.data.gov.uk/hydrology/id/measures/ee52ed1a-57fe-4123-9251-3fadf75dd1ee-gw-logged-i-subdaily-mAOD-qualified,,,,270152,9/14/2006,2/27/2024,Moderately productive aquifer,Significant intergranular flow,209.2644043,4260.831168,Permian Sandstones
525,,Fairstead Lane,021f7ab7-f0b6-4b7b-8695-ddb0f57159e1,586668,300265,52.568165,0.752878,1,1,,TF80_217,8/7/1995,28.78,,,http://environment.data.gov.uk/hydrology/id/measures/021f7ab7-f0b6-4b7b-8695-ddb0f57159e1-gw-dipped-i-mAOD-qualified,,235,8/7/1995,6/8/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,27.88664055,57269.02578,Chalk
526,,Hazlewood Common,9041e5a0-44f1-4cd3-8e86-b697a5b2abc8,643377,258811,52.17383,1.55801,1,1,,TM45_383,10/27/1988,17.89,,,http://environment.data.gov.uk/hydrology/id/measures/9041e5a0-44f1-4cd3-8e86-b697a5b2abc8-gw-dipped-i-mAOD-qualified,,404,10/27/1988,1/18/2024,,,,Moderately productive aquifer,Significant intergranular flow,17.60954666,119622.1945,Crag
527,,Red Lion,169470d0-3c4c-4ad3-9b00-5ca848cf389f,445204,531401,54.675637,-1.30051,1,1,,25-4-202,6/21/1977,,,,http://environment.data.gov.uk/hydrology/id/measures/169470d0-3c4c-4ad3-9b00-5ca848cf389f-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/169470d0-3c4c-4ad3-9b00-5ca848cf389f-gw-logged-i-subdaily-mAOD-qualified,153,1/21/2003,1/18/2024,310339,6/21/1977,11/8/2023,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,82.98487854,469.1238232,Magnesian Limestone
528,Slow increasing,Street End,ccd18d58-402f-4817-bb28-922ad495efda,455635,120005,50.976774,-1.208915,1,1,,142502916,4/26/1996,111.89,95,Lewes Nodular Chalk Member,http://environment.data.gov.uk/hydrology/id/measures/ccd18d58-402f-4817-bb28-922ad495efda-gw-dipped-i-mAOD-qualified,,2451,4/26/1996,3/24/2021,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,111.9571304,46301.07295,Chalk
529,No trend,Billet Lane,e9507eb2-1055-4437-baa1-876511402bbf,498199,208402,51.76569,-0.578401,1,1,,SP90_72,2/4/1994,107,22,Chalk,http://environment.data.gov.uk/hydrology/id/measures/e9507eb2-1055-4437-baa1-876511402bbf-gw-dipped-i-mAOD-qualified,,449,2/4/1994,2/1/2024,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,107.0371704,21436.50363,Lower Greensand
530,Slow increasing,Leaden Roding,25a8ddc6-c1cf-4c3b-804f-16ad2f988a39,559499,213540,51.797759,0.311621,1,1,,TL51_3,1/19/1971,74.7,108.2,Chalk,http://environment.data.gov.uk/hydrology/id/measures/25a8ddc6-c1cf-4c3b-804f-16ad2f988a39-gw-dipped-i-mAOD-qualified,,559,1/19/1971,11/8/2023,,,,Rocks with essentially no groundwater,,74.41378784,31608.95661,Chalk
531,Slow increasing,Childs Ercall 3,2670ef9d-cb11-4131-966b-9361a780e977_26053,366525,323365,52.806779,-2.498012,1,1,,26053,6/9/1994,65.93,,,,http://environment.data.gov.uk/hydrology/id/measures/2670ef9d-cb11-4131-966b-9361a780e977_26053-gw-logged-i-subdaily-mAOD-qualified,,,,431479,6/9/1994,12/1/2021,Highly productive aquifer,Significant intergranular flow,64.40734863,839.6878294,Triassic sandstones
532,,Childs Ercall 5,2670ef9d-cb11-4131-966b-9361a780e977_26105,366505,323345,52.806598,-2.498307,1,1,,26105,7/20/2002,64.2,,,,http://environment.data.gov.uk/hydrology/id/measures/2670ef9d-cb11-4131-966b-9361a780e977_26105-gw-logged-i-subdaily-mAOD-qualified,,,,172797,7/20/2002,3/1/2024,Highly productive aquifer,Significant intergranular flow,64.21669769,834.3857669,Triassic sandstones
533,Slow increasing,Chapel Farm,157381db-63b0-4588-99d7-46ed50209cae,444535,175915,51.48044,-1.360078,1,1,,SU47_134,6/29/1973,120.2,32,Chalk,http://environment.data.gov.uk/hydrology/id/measures/157381db-63b0-4588-99d7-46ed50209cae-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/157381db-63b0-4588-99d7-46ed50209cae-gw-logged-i-subdaily-mAOD-qualified,1393,6/29/1973,4/28/2023,199835,5/21/2001,3/13/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,121.1842804,28552.2708,Chalk
534,No trend,Westerley,61f9b05c-1752-4bcf-94cb-67b4c536381e,505649,194842,51.642459,-0.474588,1,1,,TQ09_18,2/6/1975,68.53,26.5,Chalk,http://environment.data.gov.uk/hydrology/id/measures/61f9b05c-1752-4bcf-94cb-67b4c536381e-gw-dipped-i-mAOD-qualified,,390,2/6/1975,11/9/2023,,,,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,69.5762558,30697.05609,Chalk
535,No trend,Northfield Farm,f8e974b6-e0b7-4729-8249-09f173395a42,439205,176585,51.486858,-1.436751,1,1,,SU37_63,7/25/1973,,26,Chalk,http://environment.data.gov.uk/hydrology/id/measures/f8e974b6-e0b7-4729-8249-09f173395a42-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/f8e974b6-e0b7-4729-8249-09f173395a42-gw-logged-i-subdaily-mAOD-qualified,1512,7/25/1973,4/21/2023,195464,11/22/2001,3/13/2024,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,111.644722,32554.78227,Chalk
536,,Western Road,298e92dc-3c56-40f5-8aa7-6353961405c0,528649,178029,51.486581,-0.148519,1,1,,TQ27_334,10/30/1992,5.5,141.5,Chalk,http://environment.data.gov.uk/hydrology/id/measures/298e92dc-3c56-40f5-8aa7-6353961405c0-gw-dipped-i-mAOD-qualified,,249,10/30/1992,1/18/2024,,,,Rocks with essentially no groundwater,,5.097007751,4972.91077,Lower Greensand
537,Slow increasing,Chesterton,b38a9343-5ecf-4c7c-ba10-6dd91b41765e,377515,297385,52.573806,-2.333203,1,1,,0076GW,8/15/1973,76.68,,,http://environment.data.gov.uk/hydrology/id/measures/b38a9343-5ecf-4c7c-ba10-6dd91b41765e-gw-dipped-i-mAOD-qualified,,739,8/15/1973,1/26/2024,,,,Highly productive aquifer,Significant intergranular flow,75.19512939,1762.907376,Triassic sandstones
538,Sudden upward change,Thornhill,f89784f4-2915-47f5-8fa2-20e3d63cb2d4,300945,509130,54.467825,-3.52985,1,1,,NY00_416,7/12/1984,39.25,120,St Bees Sandstone,,http://environment.data.gov.uk/hydrology/id/measures/f89784f4-2915-47f5-8fa2-20e3d63cb2d4-gw-logged-i-subdaily-mAOD-qualified,,,,258826,7/12/1984,9/18/2023,Highly productive aquifer,Significant intergranular flow,38.62697601,3233.223821,Triassic sandstones
