No,label,dipped,logged,easting,northing,lat,long,Revised aquifers,CHARACTER,FLOW_MECHA,Elevation of station,state,data amount,mean_depth,max_depth,min_depth,first year,last year,total year,cover year,classification,ts_slope (cm/year),pw_R2,windows,start year,end year,regions,5km circle,Irrigation intensity,LTA_PR
704,Belmesthorpe,,http://environment.data.gov.uk/hydrology/id/measures/1df1f299-c633-412b-a083-e79e5c965031-gw-logged-i-subdaily-mAOD-qualified,505005,311235,52.688625,-0.447917,Oolites,Moderately productive aquifer,Flow is virtually all through fractures and other discontinuities,33.10897064,no enough data,no enough data,,,,,,,,,,,,,,,,,
705,Dencher Wood,http://environment.data.gov.uk/hydrology/id/measures/70b35094-d342-4a50-82b1-c8487f92c7e3-gw-dipped-i-mAOD-qualified,,496605,110305,50.884166,-0.628057,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,77.79701233,qualified,372,62.03788599,69.25701233,35.43701233,10/1/1992,10/1/2023,32,32,Slow increasing,-12.63611111,0.106134647,2,10/1/2011,10/1/2012,Southern,114.0941857,1001,1.067055332
706,Strides Farm Cottage,http://environment.data.gov.uk/hydrology/id/measures/a5c1cbcc-6f80-4955-8493-2119358dd7b0-gw-dipped-i-mAOD-qualified,,428836,129733,51.066208,-1.589848,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,62.0328331,no enough data,no enough data,,,,,,,,,,,,,,,,,
707,Warren Lodge,http://environment.data.gov.uk/hydrology/id/measures/f2277695-802f-414c-a7cc-70866a45d9c8-gw-dipped-i-mAOD-qualified,,575979,293608,52.511941,0.591816,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,16.11878967,qualified,219,8.715410675,12.48878967,4.35878967,10/1/1998,10/1/2023,26,24,Slow decreasing,7.072839506,0.125369536,8,10/1/2000,10/1/2007,Anglian,39.66573368,5001,0.232143935
708,Dottrell Hall,http://environment.data.gov.uk/hydrology/id/measures/903665c0-99bf-40cf-847e-a0379595ee31-gw-dipped-i-mAOD-qualified,,542196,243654,52.072994,0.073321,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,33.83479691,qualified,196,10.50734793,13.99479691,5.99479691,10/1/1998,10/1/2018,21,20,Slow decreasing,4.937134503,0.182075759,18,10/1/2001,10/1/2018,Anglian,137.4984278,5001,0.240182178
709,Studham,http://environment.data.gov.uk/hydrology/id/measures/d8463e91-308b-43e8-a61b-8328a8e16bd4-gw-dipped-i-mAOD-qualified,,503140,215900,51.832194,-0.5046,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,156.6808929,qualified,1121,25.66323902,37.1008929,8.0808929,10/1/1987,10/1/2023,37,36,No trend,1.898724376,0.003028023,31,10/1/1987,10/1/2017,Thames,208.4883938,101,0.697462157
710,Whelford,http://environment.data.gov.uk/hydrology/id/measures/7ffa6588-faa7-490a-b190-4862a3122da4-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/7ffa6588-faa7-490a-b190-4862a3122da4-gw-logged-i-subdaily-mAOD-qualified,416545,199235,51.691621,-1.762037,Oolites,Rocks with essentially no groundwater,,78.42441559,qualified,7721,0.744592641,1.42829059,-0.096167743,10/1/2002,10/1/2023,22,22,No trend,0.115207967,0.229271813,2,10/1/2022,10/1/2023,Thames,132.733198,51,0.550858363
711,Martinstown,http://environment.data.gov.uk/hydrology/id/measures/2290d891-44ce-49dc-abcf-f19a83d53044-gw-dipped-i-mAOD-qualified,,365161,88822,50.697988,-2.494645,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,77.65643311,qualified,380,4.422480478,11.00643311,0.53643311,10/1/1991,10/1/2023,33,33,No trend,-1.940259495,0.055951722,33,10/1/1991,10/1/2023,South West,353.0976433,101,1.340571348
712,Ketton Hall,http://environment.data.gov.uk/hydrology/id/measures/0982ef00-7a54-49f9-b81f-46db4b051e39-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/0982ef00-7a54-49f9-b81f-46db4b051e39-gw-logged-i-subdaily-mAOD-qualified,429273,519235,54.567483,-1.54876,Magnesian Limestone,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,66.8237915,qualified,15061,15.34278356,19.6137915,9.9237915,10/1/1969,10/1/2023,55,53,Slow increasing,-3.096502303,0.465307501,3,10/1/1978,10/1/1980,North East,818.8298846,251,0.316573657
713,Chatham Plantation North Creake,http://environment.data.gov.uk/hydrology/id/measures/c96cc9d3-cff9-4062-83a5-18c422b82c5b-gw-dipped-i-mAOD-qualified,,585312,337793,52.905601,0.754065,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,18.39203072,qualified,268,3.004120272,5.46203072,0.49203072,10/1/1994,10/1/2023,30,28,No trend,1.200463486,0.053436726,9,10/1/2001,10/1/2009,Anglian,28.96974772,5001,0.43318004
714,Wilmslow,,http://environment.data.gov.uk/hydrology/id/measures/36fb02cb-a517-45bf-9dfa-48e2bb443b25-gw-logged-i-subdaily-mAOD-qualified,386990,379880,53.315678,-2.196735,Triassic Sandstone,Highly productive aquifer,Significant intergranular flow,90.85047913,qualified,4235,11.3336832,11.86172913,10.48347913,10/1/2008,10/1/2022,15,14,Slow decreasing,2.933513969,0.032232343,15,10/1/2008,10/1/2022,North West,668.1302447,101,0.631793587
715,Arreton,http://environment.data.gov.uk/hydrology/id/measures/5b508b16-873a-4a77-8d3e-51c94550ccd8-gw-dipped-i-mAOD-qualified,,454105,83965,50.652859,-1.236009,Lower Greensand,Highly productive aquifer,Significant intergranular flow,21.41805077,qualified,464,3.483072322,6.36805077,1.66805077,10/1/1977,10/1/2023,47,46,Slow decreasing,3.052083333,0.576108511,17,10/1/1981,10/1/1997,Southern,353.4551817,251,0.997134342
716,Downend,http://environment.data.gov.uk/hydrology/id/measures/6a166764-fe7f-45f4-ab03-68ade7f9fd9e-gw-dipped-i-mAOD-qualified,,453590,87459,50.684324,-1.242789,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,112.471283,qualified,416,31.54923973,44.221283,20.731283,10/1/1985,10/1/2023,39,39,Slow increasing,-2.59469697,0.170239884,2,10/1/2022,10/1/2023,Southern,398.596141,251,1.167019626
717,Castle Eaton,http://environment.data.gov.uk/hydrology/id/measures/9950889e-8fcc-442e-993c-4538a5c1c28f-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/9950889e-8fcc-442e-993c-4538a5c1c28f-gw-logged-i-subdaily-mAOD-qualified,415095,196165,51.664059,-1.783145,Oolites,Rocks with essentially no groundwater,,75.81097412,qualified,7780,1.124489759,1.963140787,-0.026734213,10/1/2002,10/1/2023,22,22,No trend,0.095002618,0.016570749,11,10/1/2007,10/1/2017,Thames,126.2516351,251,0.079447065
718,Howe Hills,http://environment.data.gov.uk/hydrology/id/measures/5e2a9f7b-9cf6-45a0-bb66-bdc63e206c89-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/5e2a9f7b-9cf6-45a0-bb66-bdc63e206c89-gw-logged-i-subdaily-mAOD-qualified,433586,524637,54.61576,-1.48144,Magnesian Limestone,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,81.43507385,qualified,14975,30.27786833,36.85507385,24.47507385,10/1/1969,10/1/2023,55,53,Slow increasing,-11.08270399,0.51568157,8,10/1/1993,10/1/2000,North East,130.8017204,251,0.326961659
719,Syderstone,http://environment.data.gov.uk/hydrology/id/measures/0828909d-5524-4d4e-93b4-9c27dfaddf58-gw-dipped-i-mAOD-qualified,,583440,331530,52.850006,0.722737,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,46.28410339,qualified,222,1.690288075,4.46410339,-0.58589661,10/1/1995,10/1/2023,29,24,No trend,-0.473,0.013497512,29,10/1/1995,10/1/2023,Anglian,30.1002305,1001,0.499110827
720,Thorpe Wood,http://environment.data.gov.uk/hydrology/id/measures/f3922e1f-d729-46c6-8526-16e0149ea643-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/f3922e1f-d729-46c6-8526-16e0149ea643-gw-logged-i-subdaily-mAOD-qualified,442552,542361,54.774354,-1.340035,Magnesian Limestone,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,87.96089935,qualified,5498,69.02271649,84.16423268,60.18089935,10/1/1991,10/1/2023,33,22,Sudden upward change,-64.07344121,0.984125845,11,10/1/2002,10/1/2012,North East,724.1243847,1,0.379053016
721,Tilmanstone,http://environment.data.gov.uk/hydrology/id/measures/f7ae710d-b127-477d-8f19-f8f9ed47c320-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/f7ae710d-b127-477d-8f19-f8f9ed47c320-gw-logged-i-subdaily-mAOD-qualified,630244,151912,51.219944,1.295781,Lower Greensand,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,28.87011719,qualified,6057,13.3355865,17.42011719,7.526533857,10/1/1988,10/1/2023,36,35,Slow increasing,-5.483417293,0.201572323,36,10/1/1988,10/1/2023,Southern,232.7810287,1001,0.654988352
722,Down Barn,,http://environment.data.gov.uk/hydrology/id/measures/b2945fe2-9d61-4e64-81c7-74e92a964149-gw-logged-i-subdaily-mAOD-qualified,412270,124330,51.018213,-1.826442,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,130.4304199,no enough data,no enough data,,,,,,,,,,,,,,,,,
723,Weaverthorpe,http://environment.data.gov.uk/hydrology/id/measures/e858907b-5177-48ed-904c-aaa81a29dcb5-gw-dipped-i-mAOD-qualified,,498126,470245,54.118704,-0.500229,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,70.70804596,qualified,529,22.1763919,36.62804596,6.50804596,10/1/1979,10/1/2023,45,45,Slow increasing,-2.341759259,0.049012492,33,10/1/1991,10/1/2023,North East,23.72083694,51,0.663934351
724,Swaton Fen,http://environment.data.gov.uk/hydrology/id/measures/86898eb4-3185-49b8-8a1c-ede9915161cf-gw-dipped-i-mAOD-qualified,,516275,336285,52.911409,-0.272361,Oolites,Rocks with essentially no groundwater,,2.617269516,negative groundwater depth,322,-10.52223359,-2.562730484,-18.93273048,10/1/1968,10/1/2022 0:00,55,37,,,,,,,,,,
725,Harlow,http://environment.data.gov.uk/hydrology/id/measures/e2d969d6-8fb1-45b3-a968-3c4cd6386a9f-gw-dipped-i-mAOD-qualified,,544949,212362,51.791132,0.100289,Chalk,Rocks with essentially no groundwater,,44.9877243,qualified,271,18.06285345,19.8577243,15.0977243,10/1/1998,10/1/2023,26,26,No trend,-0.462962963,0.220301654,1,10/1/2000,10/1/2000,Thames,1253.030684,101,0.322583149
726,Booton Common 3,http://environment.data.gov.uk/hydrology/id/measures/8131943c-41dd-4ef0-ba1e-fb18c9a6d868-gw-dipped-i-mAOD-qualified,,611195,322985,52.763148,1.12877,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,24.37985992,negative groundwater depth,167,-0.330577206,0.05985992,-0.46014008,10/1/1995,10/1/2022 0:00,28,18,,,,,,,,,,
727,Bruntwood Hall,,http://environment.data.gov.uk/hydrology/id/measures/fcc66e86-0751-4a91-a964-1cd3b7d0ef58-gw-logged-i-subdaily-mAOD-qualified,386110,386450,53.37471,-2.210235,Triassic Sandstone,Highly productive aquifer,Significant intergranular flow,62.90552521,qualified,11059,14.09512175,14.80732521,13.52552521,10/1/1972,10/1/2023,52,49,No trend,-1.641985307,0.839870828,31,10/1/1983,10/1/2013,North West,2629.374174,101,0.594268336
728,West Down Farm,http://environment.data.gov.uk/hydrology/id/measures/e8167d6c-8206-4716-b2f8-5a2dedefe925-gw-dipped-i-mAOD-qualified,,562633,166029,51.37003,0.335039,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,103.3569183,qualified,594,68.74646375,73.3269183,58.9669183,10/1/1973,10/1/2019,47,40,Slow decreasing,3.7837346,0.012862747,42,10/1/1978,10/1/2019,Southern,408.9666556,251,0.507390993
729,New Barns,http://environment.data.gov.uk/hydrology/id/measures/f520b4a6-b143-48c9-85c7-d9200d8c9301-gw-dipped-i-mAOD-qualified,,373025,227965,51.949512,-2.393881,Triassic Sandstone,Highly productive aquifer,Significant intergranular flow,58.17880249,qualified,468,9.863332405,11.92880249,7.49880249,10/1/1973,10/1/2022,50,48,Slow increasing,-2.446590909,0.181663031,47,10/1/1974,10/1/2020,Midlands,118.6520906,101,0.182290038
730,Cedar House Farm,http://environment.data.gov.uk/hydrology/id/measures/abbd35de-d866-434c-9c29-dab19e67ed51-gw-dipped-i-mAOD-qualified,,349755,414005,53.620149,-2.761071,Triassic Sandstone,Highly productive aquifer,Significant intergranular flow,36.63197708,qualified,232,6.974649494,8.29197708,5.75197708,10/1/1970,10/1/2022,53,46,No trend,1.862337662,0.761201685,7,10/1/1988,10/1/1994,North West,231.716614,1,0.755915238
731,Radmoor Bridge,http://environment.data.gov.uk/hydrology/id/measures/8274da5c-58dc-4858-a4f5-a4c56101092a-gw-dipped-i-mAOD-qualified,,362235,324465,52.816383,-2.561775,Permian Sandstone,Highly productive aquifer,Significant intergranular flow,69.55615234,qualified,319,2.536371776,3.33615234,1.48615234,10/1/1984,10/1/2021,38,36,No trend,-0.13490676,0.025711627,23,10/1/1995,10/1/2017,Midlands,70.57888173,1001,0.383537413
732,Inhams Lane,http://environment.data.gov.uk/hydrology/id/measures/f8904fbd-b9de-4124-bbf9-fe49ba330559-gw-dipped-i-mAOD-qualified,,464805,112015,50.903977,-1.079736,Chalk,Low productivity aquifer,Significant intergranular flow,42.929039,qualified,179,8.547586486,21.639039,0.659039,10/1/2000,10/1/2023,24,19,No trend,-4.761904762,0.133750362,7,10/1/2006,10/1/2012,Southern,570.0660927,101,0.119299715
733,Lower Green,http://environment.data.gov.uk/hydrology/id/measures/80dd80f5-ec1f-4671-b2ef-1b63fa38e2e9-gw-dipped-i-mAOD-qualified,,589419,259628,52.202317,0.770465,Chalk,Moderately productive aquifer,Significant intergranular flow,72.22074127,qualified,203,32.10719447,33.60074127,29.88074127,10/1/1998,10/1/2023,26,21,Slow increasing,-4.191498316,0.294879731,26,10/1/1998,10/1/2023,Anglian,177.8534017,5001,0.43267357
734,Brick  Kiln Barns,http://environment.data.gov.uk/hydrology/id/measures/d9812ac7-9df2-40db-8d59-ea3d083536ad-gw-dipped-i-mAOD-qualified,,555158,237027,52.009983,0.259287,Lower Greensand,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,89.87503815,qualified,233,39.70396519,41.34503815,36.77503815,10/1/1998,10/1/2023,26,23,No trend,-0.651515152,0.013628878,26,10/1/1998,10/1/2023,Anglian,245.4958838,5001,0.085052957
735,Friday Island,http://environment.data.gov.uk/hydrology/id/measures/a8bb2b85-5909-4570-add0-4736aa38d615-gw-dipped-i-mAOD-qualified,,401082,194809,51.652066,-1.985751,Oolites,Rocks with essentially no groundwater,,88.01835632,negative groundwater depth,191,-0.154837397,0.21835632,-0.31164368,10/1/2004,10/1/2023 0:00,20,19,,,,,,,,,,
736,Brant House,http://environment.data.gov.uk/hydrology/id/measures/174cdc5a-e933-4037-984a-28694c9cea4f-gw-dipped-i-mAOD-qualified,,381925,264325,52.276764,-2.266333,Triassic Sandstone,Highly productive aquifer,Significant intergranular flow,40.55993652,qualified,348,8.757982497,11.15993652,4.94993652,10/1/1989,10/1/2022,34,31,Slow increasing,-5.422666667,0.335833701,15,10/1/1989,10/1/2003,Midlands,109.226603,251,0.569094611
737,Tholthorpe,http://environment.data.gov.uk/hydrology/id/measures/7f362c1b-8a55-43d4-9efd-b9e9a1e0a736-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/7f362c1b-8a55-43d4-9efd-b9e9a1e0a736-gw-logged-i-subdaily-mAOD-qualified,447443,466389,54.091214,-1.276142,Triassic Sandstone,Highly productive aquifer,Significant intergranular flow,20.93717957,qualified,16099,7.888776896,9.293846237,6.93717957,10/1/1971,10/1/2022,52,51,No trend,-0.767931802,0.286955593,17,10/1/1997,10/1/2013,North East,57.62744579,251,0.301571363
738,Mowden Bridge,http://environment.data.gov.uk/hydrology/id/measures/ac373f2b-51f4-45a9-ac07-8dc70d30625f-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/ac373f2b-51f4-45a9-ac07-8dc70d30625f-gw-logged-i-subdaily-mAOD-qualified,426081,515659,54.53552,-1.598442,Carboniferous Limestone,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,49.52175903,qualified,9756,4.942908095,9.09175903,1.083300697,10/1/1968,10/1/2023,56,52,No trend,-0.689702551,0.237324408,4,10/1/1981,10/1/1984,North East,1010.747063,251,0.050176443
739,Naphens Farm,http://environment.data.gov.uk/hydrology/id/measures/7b79f68d-c449-47fb-9ef4-6a4c336d230b-gw-dipped-i-mAOD-qualified,,577902,279029,52.380389,0.612361,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,48.78324127,qualified,259,32.72741115,38.90324127,22.70324127,10/1/1998,10/1/2023,26,25,No trend,-0.796931818,0.015874818,1,10/1/2003,10/1/2003,Anglian,124.7592273,5001,0.356567016
740,Christchurch Park,http://environment.data.gov.uk/hydrology/id/measures/5805f3cb-f7af-472f-add7-6db8d34aacce-gw-dipped-i-mAOD-qualified,,616480,244910,52.060244,1.156492,Chalk,Rocks with essentially no groundwater,,15.57105064,qualified,344,12.67994599,13.40105064,12.05105064,10/1/1984,10/1/2022,39,33,No trend,-0.376065341,0.267487147,10,10/1/1991,10/1/2000,Anglian,1938.4159,2501,0.052832323
741,Upper Hatton Wood,http://environment.data.gov.uk/hydrology/id/measures/f6bf17b9-3a10-440c-9a69-89372d624281-gw-dipped-i-mAOD-qualified,,383175,337685,52.936285,-2.25177,Unallocated to aquifers,Highly productive aquifer,Significant intergranular flow,130.9620819,qualified,400,34.5824069,39.3820819,31.0020819,10/1/1986,10/1/2022,37,37,Slow increasing,-6.491515837,0.589710839,4,10/1/1998,10/1/2001,Midlands,107.7332591,251,0.658866727
742,South Angle Farm,http://environment.data.gov.uk/hydrology/id/measures/0bd73513-200d-46b2-ba96-7e6a385bd693-gw-dipped-i-mAOD-qualified,,558312,273216,52.334181,0.322073,Lower Greensand,Rocks with essentially no groundwater,,1.45921874,no enough data,no enough data,,,,,,,,,,,,,,,,,
743,Branston,http://environment.data.gov.uk/hydrology/id/measures/96998b0f-9532-40db-a516-20ea953d8091-gw-dipped-i-mAOD-qualified,,501945,365615,53.177872,-0.476102,Oolites,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,54.17839813,qualified,540,9.704490723,10.20839813,9.07839813,10/1/1977,10/1/2023,47,43,No trend,-0.657713499,0.598055678,41,10/1/1977,10/1/2017,Anglian,270.8277272,751,0.314451883
744,Cherrington,http://environment.data.gov.uk/hydrology/id/measures/748eba36-9fec-4fdc-ba0e-8a6dfaf7089b-gw-dipped-i-mAOD-qualified,,366695,319735,52.774159,-2.495119,Permian Sandstone,Highly productive aquifer,Significant intergranular flow,62.00031281,qualified,585,4.641099135,7.19031281,1.25031281,10/1/1970,10/1/2022,53,51,Slow decreasing,4.676630435,0.595547547,21,10/1/1970,10/1/1990,Midlands,82.97460936,1001,0.298753888
745,Foxhill,http://environment.data.gov.uk/hydrology/id/measures/6038de74-b182-4ceb-9ec8-c7ed7ed8e6c5-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/6038de74-b182-4ceb-9ec8-c7ed7ed8e6c5-gw-logged-i-subdaily-mAOD-qualified,457050,139850,51.155066,-1.185638,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,112.1908951,qualified,10245,27.5199176,32.2108951,22.67060343,10/1/1973,10/1/2023,51,50,No trend,-1.809977568,0.090660539,51,10/1/1973,10/1/2023,Southern,75.20337096,1,0.944769702
746,Shocklach,,http://environment.data.gov.uk/hydrology/id/measures/ec928820-1d3f-4f95-b2e0-449dc3e02db1-gw-logged-i-subdaily-mAOD-qualified,343906,349183,53.036956,-2.837988,Triassic Sandstone,Highly productive aquifer,Significant intergranular flow,36.13990021,qualified,16530,12.75519376,13.49290021,11.91646271,10/1/1975,10/1/2023,49,49,No trend,1.237837634,0.241915743,49,10/1/1975,10/1/2023,North West,82.15152641,1,0.372836074
747,Prebendal Farm,http://environment.data.gov.uk/hydrology/id/measures/e62a8c48-6bc6-43a5-8d37-afbd56eaf4b0-gw-dipped-i-mAOD-qualified,,425905,181815,51.534645,-1.627911,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,183.9107208,qualified,351,42.82163248,52.6007208,29.4007208,10/1/1972,10/1/2023,52,46,Slow increasing,-2.095170455,0.033453387,52,10/1/1972,10/1/2023,Thames,91.70691445,51,0.868234924
748,Council Houses Oxborough,http://environment.data.gov.uk/hydrology/id/measures/060dfa1e-b7ea-4ae1-bc05-c8e019cc082b-gw-dipped-i-mAOD-qualified,,574327,301697,52.585117,0.571744,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,10.77464867,qualified,499,3.970350073,5.27364867,2.34464867,10/1/1970,10/1/2022,53,50,No trend,1.781635802,0.782031704,2,10/1/2001,10/1/2002,Anglian,35.51648287,5001,0.347992913
749,Spine Road,http://environment.data.gov.uk/hydrology/id/measures/2e4a87f2-e491-4400-b353-057c9812e550-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/2e4a87f2-e491-4400-b353-057c9812e550-gw-logged-i-subdaily-mAOD-qualified,405145,195235,51.655875,-1.927017,Oolites,Rocks with essentially no groundwater,,86.84706879,qualified,9891,0.298668382,7.94831879,-6.347722877,10/1/1981,10/1/2023,43,43,Slow increasing,-7.860443951,0.538598682,43,10/1/1981,10/1/2023,Thames,117.7162682,251,0.223492001
750,Hillfield Farm,http://environment.data.gov.uk/hydrology/id/measures/cfc1c454-70c7-44f2-833e-08add2f98b26-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/cfc1c454-70c7-44f2-833e-08add2f98b26-gw-logged-i-subdaily-mAOD-qualified,596282,312398,52.673717,0.90174,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,51.0389061,qualified,2701,1.858900993,3.1789061,0.5289061,10/1/1974,10/1/2023,50,49,No trend,0.921191796,0.180756771,42,10/1/1981,10/1/2022,Anglian,284.717091,1001,0.408448561
751,Winterbourne Farm,http://environment.data.gov.uk/hydrology/id/measures/66862060-81b4-43ec-a3ad-b3983a652112-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/66862060-81b4-43ec-a3ad-b3983a652112-gw-logged-i-subdaily-mAOD-qualified,445765,172445,51.449144,-1.342815,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,94.12808228,qualified,8781,0.306709348,2.59095728,-0.623251053,10/1/1975,10/1/2022,48,46,No trend,-0.14222164,0.092549509,2,10/1/1975,10/1/1976,Thames,168.1587598,51,0.092390647
752,Dalton Estates,http://environment.data.gov.uk/hydrology/id/measures/e53eb3b1-06d8-471f-9193-e922b9ff57e5-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/e53eb3b1-06d8-471f-9193-e922b9ff57e5-gw-logged-i-subdaily-mAOD-qualified,496522,445190,53.893897,-0.5327,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,31.34250069,qualified,13553,15.01318171,21.69250069,7.446914483,10/1/1888,10/1/2023,136,136,No trend,-0.132939469,0.001614881,118,10/1/1905,10/1/2022,North East,59.58638701,51,0.537393376
753,Church End Little Hadham,http://environment.data.gov.uk/hydrology/id/measures/0f541464-634d-4422-b4a0-c369325108dc-gw-dipped-i-mAOD-qualified,,544710,222670,51.88381,0.101134,Chalk,Low productivity aquifer,Significant intergranular flow,91.1937561,qualified,369,25.90956911,29.9737561,21.5437561,10/1/1963,10/1/2018,56,46,No trend,-0.48875969,0.047831497,56,10/1/1963,10/1/2018,Thames,412.0056589,101,0.102917679
754,Gorstella,,http://environment.data.gov.uk/hydrology/id/measures/34c32b22-4693-4a85-8423-520844873ed3-gw-logged-i-subdaily-mAOD-qualified,336463,362174,53.152882,-2.951545,Unallocated to aquifers,Highly productive aquifer,Significant intergranular flow,12.75257492,negative groundwater depth,14081,-2.056740286,1.20368728,-2.987091747,10/1/1972,10/1/2023 0:00,52,46,,,,,,,,,,
755,Newton Yew Tree Farm,,http://environment.data.gov.uk/hydrology/id/measures/a61ea7d0-fb6a-4e26-91f1-efe133393681_2845-gw-logged-i-subdaily-mAOD-qualified,348605,317235,52.750265,-2.762857,Permian Sandstone,Highly productive aquifer,Significant intergranular flow,83.0138855,qualified,5272,28.37219639,34.95055217,27.62035609,10/1/1997,10/1/2023,27,19,No trend,1.538427122,0.287636672,18,10/1/2005,10/1/2022,Midlands,586.2877254,251,0.349756078
756,Newton Trafalgar Wood,,http://environment.data.gov.uk/hydrology/id/measures/a61ea7d0-fb6a-4e26-91f1-efe133393681_26064-gw-logged-i-subdaily-mAOD-qualified,348415,317355,52.751325,-2.76569,Permian Sandstone,Highly productive aquifer,Significant intergranular flow,80.04470825,qualified,9796,25.63696636,27.34752075,24.98711789,10/1/1993,10/1/2022,30,30,No trend,0.11423328,0.079221135,8,10/1/2015,10/1/2022,Midlands,553.222699,251,0.349756078
757,Gallowstree Common,http://environment.data.gov.uk/hydrology/id/measures/f9952663-a36e-4426-beed-1b97f81587b4-gw-dipped-i-mAOD-qualified,,469115,180235,51.516813,-1.005326,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,101.4621887,qualified,1211,48.45853057,54.4921887,39.1721887,10/1/1968,10/1/2023,56,55,Slow decreasing,5.235984848,0.105105667,37,10/1/1968,10/1/2004,Thames,320.2973161,251,0.631968135
758,Needham Green,http://environment.data.gov.uk/hydrology/id/measures/0faca2a4-9349-4f2c-b4a7-824a49ec974d-gw-dipped-i-mAOD-qualified,,555775,215756,51.818716,0.258658,Chalk,Rocks with essentially no groundwater,,86.10530853,qualified,296,40.45088285,41.80530853,37.38530853,10/1/1994,10/1/2023,30,29,Slow decreasing,2.349354884,0.318750714,14,10/1/1996,10/1/2009,Thames,103.6448188,1001,0.517575644
759,Kighill,http://environment.data.gov.uk/hydrology/id/measures/064a3158-30c0-4613-883d-99683d9c1b67-gw-dipped-i-mAOD-qualified,,455665,353355,53.074523,-1.170575,Triassic Sandstone,Highly productive aquifer,Significant intergranular flow,129.8790588,qualified,1105,31.64754749,34.4290588,29.4690588,10/1/1969,10/1/2021,53,53,Slow decreasing,3.140533626,0.486807047,23,10/1/1969,10/1/1991,Midlands,534.3569714,1001,0.595847736
760,Belleau South,http://environment.data.gov.uk/hydrology/id/measures/71caede2-9ec8-43ef-bb47-13ed77cbffa0-gw-dipped-i-mAOD-qualified,,539905,378105,53.281453,0.09699,Spilsby Sandstone,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,31.66980743,same coordinate,531,13.36937428,18.45980743,3.27980743,10/1/1970,10/1/2023 0:00,54,37,,,,,,,,,,
761,Montpelier House,http://environment.data.gov.uk/hydrology/id/measures/9b6e69d3-004b-4359-bc10-67f6d51b0562-gw-dipped-i-mAOD-qualified,,449300,181010,51.525854,-1.290756,Chalk,Highly productive aquifer,Flow is virtually all through fractures and other discontinuities,117.6020279,qualified,328,13.21272912,20.3820279,1.8820279,10/1/1981,10/1/2023,43,30,Slow increasing,-6.235129068,0.140983059,36,10/1/1988,10/1/2023,Thames,82.99466056,51,0.658625687
