No,label,dipped,logged,easting,northing,lat,long,Elevation,data amount (daily sample),data amount (annual sample),obsrevation start year,obsrevation end year,obsrevation span,mean_depth,max_depth,min_depth
981,Fernbank,,http://environment.data.gov.uk/hydrology/id/measures/eb670720-299c-45f8-bfa6-1731ef31cde3-gw-logged-i-subdaily-mAOD-qualified,359858,223018,51.904239,-2.58487,64.5057373,7458,31,1985,2020,36,18.25028995,22.3007373,11.9074248
982,Barley Road,http://environment.data.gov.uk/hydrology/id/measures/29a91a61-7c9a-40ed-afcb-cf16eee3f194-gw-dipped-i-mAOD-qualified,,540272,240210,52.04254,0.043855,59.90884018,233,23,1998,2023,26,26.38738095,34.00884018,11.88884018
983,St. Lawrence Laundry,http://environment.data.gov.uk/hydrology/id/measures/35be1d75-1fca-4907-9f86-a5a501781926-gw-dipped-i-mAOD-qualified,,615641,156674,51.2684,1.089864,36.75849533,472,48,1973,2023,51,23.24065635,24.28849533,21.20849533
984,New Barn Farm,http://environment.data.gov.uk/hydrology/id/measures/9a2a08b2-1ce7-490e-a394-64a415c24147-gw-dipped-i-mAOD-qualified,,448615,125925,51.030638,-1.308107,63.67399597,332,35,1988,2023,36,37.00252007,38.51399597,32.49399597
985,Rougham Place,http://environment.data.gov.uk/hydrology/id/measures/6a7b10c4-88ad-4475-8577-2c5d9de97576-gw-dipped-i-mAOD-qualified,,592057,262988,52.231576,0.810923,63.0939827,237,22,1998,2019,22,19.3325481,22.9939827,14.2739827
986,Winterbourne Bassett,http://environment.data.gov.uk/hydrology/id/measures/c0875c73-beb0-415b-920d-7b27d4619c5e-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/c0875c73-beb0-415b-920d-7b27d4619c5e-gw-logged-i-subdaily-mAOD-qualified,408821,175671,51.479924,-1.874363,188.8479767,7262,50,1971,2022,52,28.1679368,36.5179767,16.12331003
987,Spurlands End,http://environment.data.gov.uk/hydrology/id/measures/d190a402-dbe7-4ae9-8a23-bfcae4cec3ff-gw-dipped-i-mAOD-qualified,,488636,198027,51.674025,-0.719575,173.9808655,499,31,1991,2023,33,64.61807993,73.9608655,48.2308655
988,Newhouse Farm,http://environment.data.gov.uk/hydrology/id/measures/46e29fc2-e8f1-491a-9640-e3674f073324-gw-dipped-i-mAOD-qualified,,549225,213945,51.804231,0.162923,62.34557343,299,30,1993,2023,31,12.23785437,14.19557343,10.10257343
989,Heath Cottage,http://environment.data.gov.uk/hydrology/id/measures/58ad499e-7e28-478d-85da-02c6dafd0e44-gw-dipped-i-mAOD-qualified,,571275,270019,52.301577,0.510509,20.56355476,229,24,1998,2023,26,5.383991441,6.64355476,3.47355476
990,Shaftenhoe,http://environment.data.gov.uk/hydrology/id/measures/9827a7b2-0597-45b2-816e-d1b90f2e6fc0-gw-dipped-i-mAOD-qualified,,541494,237696,52.019642,0.060621,95.37966156,243,24,1998,2023,26,30.07254222,44.73966156,15.90966156
991,London Road Sittingbourne,http://environment.data.gov.uk/hydrology/id/measures/496da96a-7cd6-456d-8629-b94d1268d5df-gw-dipped-i-mAOD-qualified,,593810,162941,51.332521,0.780732,11.47546959,467,40,1983,2022,40,5.993756528,8.74546959,2.83546959
992,Hulls Mill Farm,http://environment.data.gov.uk/hydrology/id/measures/c99ae209-19b3-4c62-a84d-3f0945e30a1f-gw-dipped-i-mAOD-qualified,,579360,233219,51.968496,0.609558,42.82550812,235,32,1985,2019,35,5.051933652,7.20550812,3.42550812
993,Meres Farm,http://environment.data.gov.uk/hydrology/id/measures/eb3d8518-95cc-400d-a833-61ce166022d8-gw-dipped-i-mAOD-qualified,,558044,125336,51.005701,0.251277,57.03449249,221,32,1980,2023,44,4.977343169,5.43449249,4.43449249
994,Beach Road,http://environment.data.gov.uk/hydrology/id/measures/f2773266-b1dc-40f9-bac6-d71a78162d51-gw-dipped-i-mAOD-qualified,,636677,144228,51.148343,1.382675,28.70906258,313,38,1981,2023,43,28.295053,32.94906258,24.23906258
995,Millbank College,http://environment.data.gov.uk/hydrology/id/measures/3bb354d2-328a-4dfc-92ae-0d6cf042db7e-gw-dipped-i-mAOD-qualified,,338705,392605,53.426645,-2.923908,42.1804657,146,37,1983,2022,40,12.517452,14.2504657,10.9604657
997,Home Mere,http://environment.data.gov.uk/hydrology/id/measures/92b3d809-0b43-4e59-9f37-93a9909c7c64-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/92b3d809-0b43-4e59-9f37-93a9909c7c64-gw-logged-i-subdaily-mAOD-qualified,589477,289767,52.472932,0.788293,38.90847778,2304,22,1998,2019,22,8.443249512,12.28231111,3.34847778
998,Able Bridge,http://environment.data.gov.uk/hydrology/id/measures/1d01cce1-8159-4882-a5de-f91298484e12-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/1d01cce1-8159-4882-a5de-f91298484e12-gw-logged-i-subdaily-mAOD-qualified,456105,164185,51.373953,-1.195339,62.4097023,9157,38,1983,2023,41,6.192218809,11.5297023,1.0097023
999,North Thoresby,http://environment.data.gov.uk/hydrology/id/measures/ba713eda-5155-41a5-9a4b-42e5e02d1151-gw-dipped-i-mAOD-qualified,,529955,398605,53.468141,-0.04373,10.31427765,543,52,1964,2021,58,5.237942475,8.68427765,2.10427765
1000,West Tytherley,http://environment.data.gov.uk/hydrology/id/measures/9bc47189-39b2-4fc9-bac9-696ef504b358-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/9bc47189-39b2-4fc9-bac9-696ef504b358-gw-logged-i-subdaily-mAOD-qualified,427288,129080,51.060411,-1.611988,70.47325897,1480,50,1967,2023,57,20.07297529,24.98325897,12.25325897
1001,Quarrendon Mill,http://environment.data.gov.uk/hydrology/id/measures/4bc7d597-f8cb-4cdc-9bf6-4e65f51a2b8e-gw-dipped-i-mAOD-qualified,,497540,196320,51.657208,-0.591325,84.86065674,636,31,1993,2023,31,7.513801394,13.10065674,0.34065674
1002,Beadlam Grange,http://environment.data.gov.uk/hydrology/id/measures/820a6c3b-fef6-488f-b6e3-9b46215a3298-gw-dipped-i-mAOD-qualified,,464176,484258,54.249975,-1.01655,59.44148254,353,33,1988,2023,36,13.87961285,18.03148254,8.70148254
1003,Upper Enham,http://environment.data.gov.uk/hydrology/id/measures/e64670ff-e1ee-4d04-b4f4-9875ec34af21-gw-dipped-i-mAOD-qualified,,436807,149957,51.247599,-1.474035,113.0978165,103,44,1967,2022,56,25.62121456,36.2878165,13.7478165
1004,Newbury,http://environment.data.gov.uk/hydrology/id/measures/d94b85cc-aa71-4dd3-b6d3-d546941d0e7a-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/d94b85cc-aa71-4dd3-b6d3-d546941d0e7a-gw-logged-i-subdaily-mAOD-qualified,450165,166985,51.399682,-1.280274,71.56791687,7432,42,1979,2021,43,1.251263736,2.567500203,-0.033416463
1005,Westmill,http://environment.data.gov.uk/hydrology/id/measures/3dbf0bff-ef9b-4ba6-bb66-7d1dc6f2ac1a-gw-dipped-i-mAOD-qualified,,534470,215060,51.81799,-0.050507,64.09438324,330,35,1989,2023,35,30.92377718,32.22438324,28.00438324
1006,Store Road,http://environment.data.gov.uk/hydrology/id/measures/06539b2c-1535-4dda-8197-883109a6c309-gw-dipped-i-mAOD-qualified,,543076,179844,51.499428,0.059864,1.429097652,191,28,1992,2023,32,1.248951055,4.249097652,-0.500902348
1007,Brackenwood Wirral,,http://environment.data.gov.uk/hydrology/id/measures/c1ad3f3c-049a-4566-8af3-128e3c2d03a2-gw-logged-i-subdaily-mAOD-qualified,332440,383450,53.343601,-3.016215,38.75548172,6753,19,2004,2022,19,25.35538068,26.78281505,23.87077339
1008,Crathorne Grange,http://environment.data.gov.uk/hydrology/id/measures/b865e36f-8902-40ee-9c8e-2bab192dc924-gw-dipped-i-mAOD-qualified,,443947,507863,54.464233,-1.323511,57.28082275,2053,40,1973,2023,51,32.89318734,33.60082275,32.17082275
1009,Ellerdine Grange,,http://environment.data.gov.uk/hydrology/id/measures/ad8f198a-70b5-49b6-a2a8-6ba0da742fbd-gw-logged-i-subdaily-mAOD-qualified,360325,321455,52.789188,-2.589747,68.07831573,8236,26,1998,2023,26,1.220215353,1.996399063,0.150232397
1010,Abridge,http://environment.data.gov.uk/hydrology/id/measures/ae707cb4-ce04-4d35-b537-fe224f848f28-gw-dipped-i-mAOD-qualified,,546594,196805,51.650925,0.117582,25.23476601,355,34,1986,2023,38,33.63794911,36.14476601,30.28476601
1011,Kettlebaston,http://environment.data.gov.uk/hydrology/id/measures/eb813de4-9f0e-4d5c-b37c-79193f8d549b-gw-dipped-i-mAOD-qualified,,595418,249882,52.112713,0.852532,44.52463531,339,41,1979,2023,45,3.42764416,3.89463531,2.97463531
1012,Grove Farm Seamer,http://environment.data.gov.uk/hydrology/id/measures/c2bab6d4-2d53-4363-8ffb-95ffc65b22ba-gw-dipped-i-mAOD-qualified,,504810,482147,54.224313,-0.393875,26.13525391,464,43,1975,2022,48,0.461245289,1.24525391,-0.19474609
1013,Stores Cottage,http://environment.data.gov.uk/hydrology/id/measures/6d92c418-9269-4514-81ae-cc57a4bc4c96-gw-dipped-i-mAOD-qualified,,371695,219735,51.875453,-2.412553,65.82968903,718,50,1972,2022,51,2.364619392,5.53968903,-0.07031097
1014,Pear Tree Cottage,http://environment.data.gov.uk/hydrology/id/measures/e922c837-ce09-476a-a0cb-28563e9422ad-gw-dipped-i-mAOD-qualified,,628434,156786,51.264426,1.273013,19.84292984,110,17,2003,2022,20,15.03939348,15.76292984,13.66292984
1015,King Georges Field Folkestone,,http://environment.data.gov.uk/hydrology/id/measures/712fb4ac-4e77-4796-bbd6-034b39017d7b_443313005-gw-logged-i-subdaily-mAOD-qualified,561803,157419,51.292912,0.319218,90.75597382,3023,12,2011,2023,13,31.39293381,33.39159882,30.18122382
1016,King Georges Field Hythe,,http://environment.data.gov.uk/hydrology/id/measures/712fb4ac-4e77-4796-bbd6-034b39017d7b_4433131004-gw-logged-i-subdaily-mAOD-qualified,561803,157429,51.293002,0.319222,90.3324585,3366,11,2012,2022,11,30.95139321,32.68754183,29.14779183
1017,Wolverton Townsend,http://environment.data.gov.uk/hydrology/id/measures/56cff09e-0435-4347-b8d2-5dfaa8ccb861-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/56cff09e-0435-4347-b8d2-5dfaa8ccb861-gw-logged-i-subdaily-mAOD-qualified,456355,158875,51.326187,-1.192587,95.43412781,766,41,1982,2022,41,34.09878369,41.90412781,27.35412781
1018,Kings Wood,http://environment.data.gov.uk/hydrology/id/measures/0dc90b10-f926-4b33-9d0f-d65993156e82-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/0dc90b10-f926-4b33-9d0f-d65993156e82-gw-logged-i-subdaily-mAOD-qualified,440604,219308,51.870868,-1.411649,132.2684937,6470,21,2001,2021,21,36.48953318,39.25653537,32.5459937
1019,Fairford FC,http://environment.data.gov.uk/hydrology/id/measures/236abcb2-3b13-4fde-aabf-97d714c700ba-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/236abcb2-3b13-4fde-aabf-97d714c700ba-gw-logged-i-subdaily-mAOD-qualified,416125,200905,51.706648,-1.768036,83.11092377,6934,20,2004,2023,20,2.826823748,4.37442377,1.147382103
1020,Downhill,http://environment.data.gov.uk/hydrology/id/measures/00185d09-d006-4114-8235-71657681db11-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/00185d09-d006-4114-8235-71657681db11-gw-logged-i-subdaily-mAOD-qualified,436145,559810,54.93165,-1.437451,53.08316422,6815,23,2001,2023,23,25.29962839,28.47275797,21.54687255
1021,Diamond Hall,http://environment.data.gov.uk/hydrology/id/measures/9ce0df25-bc7f-463d-a923-980d3a331def-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/9ce0df25-bc7f-463d-a923-980d3a331def-gw-logged-i-subdaily-mAOD-qualified,435901,527758,54.643647,-1.445214,87.65584564,8348,45,1979,2023,45,52.90441883,61.12584564,49.32457481
1023,St Marys School,http://environment.data.gov.uk/hydrology/id/measures/05ceed28-6698-43a4-b75c-4cf9ccbe447d-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/05ceed28-6698-43a4-b75c-4cf9ccbe447d-gw-logged-i-subdaily-mAOD-qualified,497442,208926,51.770532,-0.589221,109.4658051,3714,30,1993,2023,31,0.596934043,3.359846767,-0.4741949
1024,Kingstanding,http://environment.data.gov.uk/hydrology/id/measures/9d91f19f-567a-4286-a378-ecc7c2553223-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/9d91f19f-567a-4286-a378-ecc7c2553223-gw-logged-i-subdaily-mAOD-qualified,547250,129880,51.049396,0.099386,202.8825684,2644,45,1978,2023,46,26.18368822,31.8425684,19.36115173
1025,Quay Lane,http://environment.data.gov.uk/hydrology/id/measures/93a5f8c8-2d84-4635-a337-18a196154c7a-gw-dipped-i-mAOD-qualified,,648488,278002,52.343738,1.646711,11.60637474,353,36,1984,2023,40,9.930312417,10.55637474,9.12637474
1026,Middleton Carr,http://environment.data.gov.uk/hydrology/id/measures/f5558231-e95a-4e56-907b-d12fa7e8aeef-gw-dipped-i-mAOD-qualified,,477736,484861,54.253517,-0.808327,30.62462997,453,42,1982,2023,42,2.182245864,4.34462997,0.05462997
1027,Came Estate Dairy,http://environment.data.gov.uk/hydrology/id/measures/cd9cb942-b601-4772-8e20-c5c1d4aedeef-gw-dipped-i-mAOD-qualified,,371067,89099,50.700804,-2.411046,52.02031708,372,33,1991,2023,33,2.405075145,4.31031708,0.48031708
1028,Stodmarsh Court,http://environment.data.gov.uk/hydrology/id/measures/396d7034-4e0b-413f-ae6b-ccd6cbe8a25e-gw-dipped-i-mAOD-qualified,,621465,160512,51.300626,1.175594,8.648586273,360,44,1972,2023,52,5.119975162,5.958586273,3.648586273
1029,Red Lodge,http://environment.data.gov.uk/hydrology/id/measures/1da60d0b-3eb5-4963-b465-eab0707e81d3-gw-dipped-i-mAOD-qualified,,581215,305294,52.615168,0.675265,28.73800659,123,18,2005,2023,19,1.566583826,4.19800659,-0.38199341
1030,Warren Farm 508,,http://environment.data.gov.uk/hydrology/id/measures/3f08b6e8-cba7-4648-ad5b-f12c24b45296-gw-logged-i-subdaily-mAOD-qualified,365295,331255,52.877624,-2.5171,84.61486816,3412,49,1974,2022,49,9.816929667,10.91486816,8.41486816
1031,Barton le Street,http://environment.data.gov.uk/hydrology/id/measures/668c13a3-489b-42de-b1db-a1ff877df768-gw-dipped-i-mAOD-qualified,,472329,474168,54.158225,-0.893871,39.3255043,488,42,1982,2023,42,20.36667233,23.4955043,14.3855043
1032,Missenden Abbey,http://environment.data.gov.uk/hydrology/id/measures/190a062c-f6fd-4543-9027-b0c6f4e1a773-gw-dipped-i-mAOD-qualified,,489819,200922,51.69986,-0.701728,120.9054108,641,33,1991,2023,33,1.989529365,7.1254108,0.2254108
1033,Park Corner Farm,http://environment.data.gov.uk/hydrology/id/measures/81f2a813-947b-4d7c-b52f-fbd2dca4e9e2-gw-dipped-i-mAOD-qualified,,476995,148655,51.231893,-0.898617,118.4302826,563,53,1971,2023,53,21.71928793,30.3602826,10.0702826
1034,Haynes Farm,http://environment.data.gov.uk/hydrology/id/measures/5538eb20-4169-4ede-8331-9b08252542ef-gw-dipped-i-mAOD-qualified,,627160,149190,51.196742,1.249971,80.56585693,120,23,1981,2022,42,50.77169026,58.45585693,45.75585693
1035,Hill Farm Epperstone,http://environment.data.gov.uk/hydrology/id/measures/b5fb9f1f-4407-4a0a-8160-f7ff7f46f5c6-gw-dipped-i-mAOD-qualified,,465105,349755,53.041102,-1.030418,75.14347076,563,49,1974,2023,50,42.67492724,45.13347076,39.96347076
1036,Bilsthorpe,http://environment.data.gov.uk/hydrology/id/measures/66228829-84d4-4fd1-9b3d-cfc6db5d4dd8-gw-dipped-i-mAOD-qualified,,463905,359495,53.128787,-1.046381,77.95730591,210,19,2004,2023,20,18.11511543,20.96730591,16.05730591
1037,Farningham,http://environment.data.gov.uk/hydrology/id/measures/1465e3e6-bc09-46d7-bb7a-832bb3802ebe-gw-dipped-i-mAOD-qualified,,554730,167150,51.382308,0.222084,33.9375,468,30,1992,2023,32,5.20866453,9.9575,2.6475
1038,Lower Rock Farm,http://environment.data.gov.uk/hydrology/id/measures/0804f8f7-9034-4ad5-bc9f-7e291a103c16-gw-dipped-i-mAOD-qualified,,352925,359515,53.130695,-2.705014,45.26321411,247,42,1971,2020,50,7.942120993,10.47321411,5.64321411
1039,Dedham,http://environment.data.gov.uk/hydrology/id/measures/aa563fb6-9379-4b93-91ae-452f33348c6b-gw-dipped-i-mAOD-qualified,,606992,232702,51.954261,1.010928,3.326874971,336,37,1981,2023,43,4.326815447,8.496874971,0.846874971
1040,Bledlow Ridge,http://environment.data.gov.uk/hydrology/id/measures/26fdf4d1-7fe2-4de0-aee6-e47df758c5f8-gw-dipped-i-mAOD-qualified,,479775,197855,51.673805,-0.847729,200.876709,404,37,1986,2023,38,92.36767435,98.546709,81.356709
1041,Cranwell,http://environment.data.gov.uk/hydrology/id/measures/8ebc05ad-ec93-45c3-ba66-34ca8ea3df1e-gw-dipped-i-mAOD-qualified,,502455,349805,53.03571,-0.473513,50.82062149,522,43,1976,2023,48,28.91274793,29.73062149,28.08062149
1042,Whixley Sandstone,http://environment.data.gov.uk/hydrology/id/measures/c207fc46-0df7-4932-be1b-a9b6563d40b3-gw-dipped-i-mAOD-qualified,,443701,458301,54.018858,-1.33451,48.69558716,438,38,1985,2023,39,10.96695702,12.70558716,9.43558716
1043,Frith Lane End,http://environment.data.gov.uk/hydrology/id/measures/2c7bb18c-172d-4d74-8bea-72ecc9c1c62d-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/2c7bb18c-172d-4d74-8bea-72ecc9c1c62d-gw-logged-i-subdaily-mAOD-qualified,457838,113630,50.919237,-1.17855,62.02202606,2481,23,2000,2023,24,27.43546353,31.30340106,23.97202606
1044,Hyde Hall Farm,http://environment.data.gov.uk/hydrology/id/measures/a33c8d2d-f56e-457c-80d5-3d7319df80ee-gw-dipped-i-mAOD-qualified,,534170,232700,51.976568,-0.047998,136.4006805,415,41,1981,2023,43,41.91894556,46.2806805,38.6906805
1045,West Hill Village Hall,,http://environment.data.gov.uk/hydrology/id/measures/28550d35-51a0-4dfc-acbf-ae9044df0719-gw-logged-i-subdaily-mAOD-qualified,306798,93736,50.735731,-3.322093,108.7417984,4965,15,2007,2021,15,14.5952779,16.1561734,12.6636734
1046,Icknield Way,http://environment.data.gov.uk/hydrology/id/measures/438c6f4d-8888-49e4-9cfb-6bae8fe556e0-gw-dipped-i-mAOD-qualified,,542509,242095,52.058906,0.077235,57.13750076,234,24,1998,2023,26,28.73985119,34.79750076,17.15750076
1047,Rew Corner,http://environment.data.gov.uk/hydrology/id/measures/49a79d85-4068-4210-91cf-9c4014d38039-gw-dipped-i-mAOD-qualified,,363775,89419,50.703272,-2.514327,85.20000458,375,33,1991,2023,33,6.397489913,11.09600458,0.51000458
1048,Granny Bards Lane,http://environment.data.gov.uk/hydrology/id/measures/10a68340-6532-48d5-877a-106147c50f94-gw-dipped-i-mAOD-qualified,,626347,316613,52.699834,1.34855,2.341781139,229,27,1996,2023,28,0.610274589,1.231781139,0.291781139
1049,Pella Farm,http://environment.data.gov.uk/hydrology/id/measures/d881fe16-4562-4bb4-bdf5-77d10baf681f-gw-dipped-i-mAOD-qualified,,370295,227975,51.949462,-2.433602,62.39092255,712,50,1973,2022,50,1.558541932,3.98092255,0.32092255
1050,Walderton,http://environment.data.gov.uk/hydrology/id/measures/7e0fb4a3-4de5-405f-8e99-855488fe85b8-gw-dipped-i-mAOD-qualified,,477935,111895,50.901278,-0.893066,46.53583527,278,40,1976,2023,48,7.016194982,16.12583527,0.09583527
1051,Fairford,http://environment.data.gov.uk/hydrology/id/measures/99a22595-d77b-49b5-9262-984a312f9ef7-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/99a22595-d77b-49b5-9262-984a312f9ef7-gw-logged-i-subdaily-mAOD-qualified,414330,200600,51.703954,-1.794025,88.98588562,8893,41,1982,2022,41,0.768735788,9.73463562,-5.327406047
1052,Droke Hanger,http://environment.data.gov.uk/hydrology/id/measures/04e2a3ce-e071-4fc3-820d-964f091ec453-gw-dipped-i-mAOD-qualified,,492465,112755,50.906868,-0.686274,93.01651764,505,49,1975,2023,49,16.58944437,27.27651764,2.22651764
1053,IBM Greenford,http://environment.data.gov.uk/hydrology/id/measures/f87d78df-65c1-4067-8b11-8fc2b2b6fc0e-gw-dipped-i-mAOD-qualified,,515650,183850,51.541703,-0.333739,30.42090607,590,35,1988,2023,36,22.50627895,33.75090607,10.96090607
1054,Broken Green,http://environment.data.gov.uk/hydrology/id/measures/ae720538-3bde-453b-b67f-558a629e19a1-gw-dipped-i-mAOD-qualified,,541379,222637,51.884367,0.052757,113.2933044,206,21,1999,2023,25,49.19849857,51.5933044,46.0433044
1055,Fouralls,http://environment.data.gov.uk/hydrology/id/measures/06cbd0a6-1a36-4798-8918-e1d5fdae1884-gw-dipped-i-mAOD-qualified,,367925,332175,52.886058,-2.478114,115.6938248,593,51,1971,2022,52,11.6050221,13.7638248,8.4438248
1056,Alresford Road Avington,http://environment.data.gov.uk/hydrology/id/measures/946d73a5-0d30-48b7-a456-a3ef1359725a-gw-dipped-i-mAOD-qualified,,454325,129425,51.061597,-1.226164,95.59860992,511,43,1980,2023,44,38.8445199,40.67860992,34.11860992
1057,Coldblow,http://environment.data.gov.uk/hydrology/id/measures/533cdcb4-5399-4f11-92f0-285379b69a08-gw-dipped-i-mAOD-qualified,,627292,152394,51.225453,1.253886,72.48561859,408,52,1967,2023,57,52.11892741,55.89561859,47.41561859
1058,Pyecombe Stables,http://environment.data.gov.uk/hydrology/id/measures/7e5b385d-f5e9-48ad-a22d-f548d730b399-gw-dipped-i-mAOD-qualified,,528905,111255,50.886408,-0.168775,94.65712738,223,20,1999,2023,25,49.97788971,61.67712738,27.10712738
1059,Berryfield Cottage,http://environment.data.gov.uk/hydrology/id/measures/cd1defd4-7642-4ddf-8701-47b1779e0080-gw-dipped-i-mAOD-qualified,,452825,84745,50.65999,-1.254003,24.17573166,458,46,1977,2023,47,2.509137774,4.78573166,0.93573166
1060,Walshford Sandstone,http://environment.data.gov.uk/hydrology/id/measures/d0578146-46f4-4646-b62f-abeb88ee4a33-gw-dipped-i-mAOD-qualified,,441201,453298,53.9741,-1.373338,22.41212463,443,40,1984,2023,40,1.31212463,1.85212463,0.25212463
1061,Greatwell,http://environment.data.gov.uk/hydrology/id/measures/42823a3d-9931-4366-9ca6-560c776861f2-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/42823a3d-9931-4366-9ca6-560c776861f2-gw-logged-i-subdaily-mAOD-qualified,310230,93968,50.738358,-3.273529,60.12137985,4889,50,1972,2021,50,15.47043558,16.80137985,13.42200485
1062,Herrings Farm,http://environment.data.gov.uk/hydrology/id/measures/2a9a9c7d-09a6-47b9-b17c-91969ca8c460-gw-dipped-i-mAOD-qualified,,566590,118030,50.937651,0.369633,118.91008,479,53,1963,2023,61,1.676572693,5.57008,-1.45992
1063,Woodleys,,http://environment.data.gov.uk/hydrology/id/measures/546d5268-d403-47e5-a1f3-9f877ffa4609-gw-logged-i-subdaily-mAOD-qualified,308505,91463,50.715567,-3.297346,42.28378296,11641,57,1965,2021,57,11.12623224,12.26430379,9.02034546
1064,Chilton Farm,,http://environment.data.gov.uk/hydrology/id/measures/f0336eb9-778b-4ad5-bdb9-46bf7de81463-gw-logged-i-subdaily-mAOD-qualified,627710,143150,51.1423,1.254008,46.20616913,4189,15,2006,2020,15,11.2276756,15.8203358,8.05941913
1067,Wallend,http://environment.data.gov.uk/hydrology/id/measures/1029fb14-8a8f-4770-abc0-bf7d0ee6acec-gw-dipped-i-mAOD-qualified,,592920,171010,51.405292,0.772348,4.479371071,343,33,1983,2023,41,6.148161158,13.26937107,3.154371071
1068,Ewelme,http://environment.data.gov.uk/hydrology/id/measures/d79e73d9-ac75-408c-b6a2-30737d51326b-gw-dipped-i-mAOD-qualified,http://environment.data.gov.uk/hydrology/id/measures/d79e73d9-ac75-408c-b6a2-30737d51326b-gw-logged-i-subdaily-mAOD-qualified,464195,190163,51.606647,-1.074411,104.2708969,4377,38,1986,2023,38,22.20886439,30.6338969,13.5708969
1069,Lone Barn,http://environment.data.gov.uk/hydrology/id/measures/7ba57987-30ca-4b85-8e97-9cfb5467eb9f-gw-dipped-i-mAOD-qualified,,457428,140871,51.164208,-1.180071,99.34669495,185,37,1971,2023,53,12.46950576,16.19669495,7.89669495
1070,Bicknor Park,http://environment.data.gov.uk/hydrology/id/measures/58531430-e064-4f67-9d8e-84d9bb338943-gw-dipped-i-mAOD-qualified,,584996,157720,51.288559,0.651652,156.8634949,332,34,1983,2019,37,86.05150695,86.3034949,85.7934949
1071,Poplar Farm,http://environment.data.gov.uk/hydrology/id/measures/6ac3e70c-c0cd-4b3d-8e76-2213fc1909eb-gw-dipped-i-mAOD-qualified,,565198,227026,51.917251,0.400631,87.04550171,351,37,1977,2022,46,31.58319402,32.87550171,30.25550171
1072,Bodham Hill,http://environment.data.gov.uk/hydrology/id/measures/5a6d6cb9-fea8-4c79-b906-38447913b9f1-gw-dipped-i-mAOD-qualified,,613913,338872,52.904674,1.179392,93.28742218,374,39,1984,2023,40,22.29873234,26.45742218,20.45742218
1073,Whistley Green,http://environment.data.gov.uk/hydrology/id/measures/8d8ccc17-cc87-4c2d-997e-17c19fcde713-gw-dipped-i-mAOD-qualified,,479215,173705,51.456786,-0.861261,37.72606277,250,37,1976,2023,48,4.54478277,7.22606277,1.96606277
1074,Standard Hill Farm,http://environment.data.gov.uk/hydrology/id/measures/84634fb5-cbe4-4ac2-b9ea-8654d11209b1-gw-dipped-i-mAOD-qualified,,618955,143886,51.152321,1.129496,147.4718323,340,35,1974,2023,50,88.59786171,108.7318323,63.5218323
1075,Woodgreen,http://environment.data.gov.uk/hydrology/id/measures/d8e1d1a1-a525-4700-96d2-9f070200b22f-gw-dipped-i-mAOD-qualified,,419210,116518,50.947778,-1.727915,99.19120789,345,32,1992,2023,32,30.94677311,31.90120789,30.12120789
1076,Staffield,http://environment.data.gov.uk/hydrology/id/measures/4b4ba39c-6ad8-4cc9-9af0-1c2d71ae02fe-gw-dipped-i-mAOD-qualified,,353885,542865,54.778548,-2.718458,95.93110657,244,44,1976,2022,47,30.92731559,31.46110657,30.16110657
1077,Hawgreen 3,http://environment.data.gov.uk/hydrology/id/measures/6066265f-5e70-4da3-bc7e-10fc8f5a6feb-gw-dipped-i-mAOD-qualified,,361895,325125,52.822291,-2.566897,69.65838623,296,34,1987,2021,35,1.265717311,2.30838623,0.45838623
1078,Ollerton,http://environment.data.gov.uk/hydrology/id/measures/418da8db-edae-4c40-92e7-d701151bd9a6-gw-dipped-i-mAOD-qualified,,365105,325215,52.823318,-2.519274,77.47427368,508,50,1971,2021,51,2.840218562,4.05427368,1.48427368
1079,Parsons,http://environment.data.gov.uk/hydrology/id/measures/57a8277a-ac72-4298-b387-501c70e2e228-gw-dipped-i-mAOD-qualified,,363845,116739,50.948941,-2.516039,67.24459076,609,49,1974,2023,50,11.38836909,20.41459076,4.82459076
