No,label,trend classification,aquifer,regions,Spatial heterogeneity_5km,Spatial heterogeneity_no station nearby5km,Population density_MSOA,Population density_5km circle averaged,Irrigation intensity,long-term average groundwater recharge
924,Dyke Bridge,Slow decreasing,Triassic Sandstone,North West,heterogeneous trends,homogeneous trends,68.9,153.9981571,1,0.524650167
925,Windwhistle,Slow increasing,Chalk,South West,no station nearby,homogeneous trends,45.9,125.8451272,51,1.028483146
926,Bucklebury,No trend,Chalk,Thames,,,118,210.8570841,51,0.615848933
927,Edgmond Marsh,Slow decreasing,Unallocated to aquifers,Midlands,no station nearby,no station nearby,67.6,252.2468176,1001,0.330370898
930,Atworth 4,Slow increasing,Oolites,South West,homogeneous trends,homogeneous trends,262.3,317.6222932,51,0.080626738
931,Atworth 5,Slow increasing,Oolites,South West,homogeneous trends,homogeneous trends,262.3,316.7177302,51,0.080626738
932,Stretton Mill,No trend,Triassic Sandstone,North West,,,74,76.43573419,1,0.582914759
933,Malmesbury,No trend,Oolites,South West,,,193.3,91.4065759,51,0.110447904
934,Walkington Wold,Slow increasing,Chalk,North East,homogeneous trends,homogeneous trends,73.5,151.9279149,51,0.620848699
935,George Hill,No trend,Unallocated to aquifers,South West,,,1836.2,141.1619019,51,0.762620765
937,Telegraph Hill,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,51.1,60.1760403,5001,0.295261636
938,Waterworks Farm 2,Slow increasing,Oolites,Anglian,heterogeneous trends,heterogeneous trends,73.2,90.20510774,101,0.222622031
939,Barbury farm,Slow decreasing,Lower Greensand,Southern,heterogeneous trends,heterogeneous trends,90.7,284.4929806,251,0.239098313
940,Cherry Acre,Slow increasing,Chalk,Thames,homogeneous trends,homogeneous trends,824.4,680.8105156,101,0.580438622
941,Woodlands Farm,No trend,Unallocated to aquifers,Midlands,,,67.6,68.92257244,1001,0.390024134
942,Grange Farm Sprowston,No trend,Chalk,Anglian,,,1761.3,1255.303035,1001,0.430856877
943,Sapperton Tunnel,Slow increasing,Oolites,Thames,heterogeneous trends,homogeneous trends,92.6,141.0048963,251,0.912306275
944,Alton Town,No trend,Chalk,Thames,,,1616.5,312.6566533,501,0.970565958
945,Ward Homes,Slow increasing,Chalk,Southern,heterogeneous trends,homogeneous trends,195.1,460.5831735,1,0.591347538
946,Upper Barpham,No trend,Chalk,Southern,,,122.7,229.0141614,1001,0.900571538
947,Charing 4B,No trend,Lower Greensand,Southern,,,98.7,96.79135485,1001,0.816922011
948,Charing 6,No trend,Lower Greensand,Southern,,,98.7,96.80684047,1001,0.816922011
949,Hayton Hill,Slow increasing,Triassic Sandstone,Midlands,heterogeneous trends,heterogeneous trends,70.9,163.3207358,1001,0.084975833
950,Low Copelaw,Sudden upward change,Magnesian Limestone,North East,,,877,474.1626785,251,0.347863055
951,Great Heck Station,No trend,Triassic Sandstone,North East,,,78.7,103.2840632,51,0.248636665
952,Plawsworth,Sudden upward change,Fell Sandstone& Border Group,North East,,,421,761.6846679,1,0.739607192
953,North End,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,82.1,131.0084293,5001,0.457548244
954,Potterhanworth,No trend,Oolites,Anglian,,,82.5,184.3754954,751,0.311719458
955,Thrandeston Lane,No trend,Crag,Anglian,,,69.6,90.52317079,1001,0.282872554
956,Priory Deep,No trend,Chalk,Southern,,,110.5,210.7514253,1001,0.626425886
957,Coldharbour Farm,Slow decreasing,Chalk,Thames,heterogeneous trends,homogeneous trends,165.5,353.8544805,101,0.7274225
958,Holmbush,Slow increasing,Chalk,Southern,homogeneous trends,homogeneous trends,1392.8,1790.870928,1,0.782572743
959,Bromborough,Slow increasing,Triassic Sandstone,North West,heterogeneous trends,homogeneous trends,3151.8,1149.395481,101,0.433193409
960,Whitlands,No trend,Triassic Sandstone,South West,,,87,91.1504568,51,1.245117906
961,Ball Hill,Slow decreasing,Chalk,Thames,heterogeneous trends,homogeneous trends,83.7,202.2350783,51,0.115201752
962,Barmby Barrage,No trend,Triassic Sandstone,North East,,,397.4,166.084657,751,0.15497039
963,Eastburn Warren,No trend,Chalk,North East,,,35.6,120.5875856,51,0.672118707
964,Tortington,Slow increasing,Chalk,Southern,heterogeneous trends,homogeneous trends,78.8,233.9849157,1001,0.452895636
965,Jockey Green,No trend,Chalk,Thames,,,36.5,114.0771657,51,0.812399013
967,North Marden,No trend,Chalk,Southern,,,93.2,68.22033929,1001,1.212265774
968,East Brownrigg,Slow increasing,Permian Sandstone,North West,heterogeneous trends,heterogeneous trends,27.9,63.78149416,1,1.367428849
969,Lawn Cottage Buriton,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,92.8,224.8541162,1001,1.499344603
970,Burntwood Farm,No trend,Chalk,Southern,,,85,177.8247783,1,0.856682929
971,East Wretham,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,65.6,57.07032273,5001,0.400411959
972,Lea Newbold,Slow decreasing,Unallocated to aquifers,North West,no station nearby,no station nearby,56.7,139.2079966,1,0.364431072
973,Moat Farm,No trend,Chalk,Anglian,,,65.6,68.63298563,5001,0.198955871
974,Highpost,Slow increasing,Chalk,South West,homogeneous trends,homogeneous trends,56.1,247.2292446,51,0.903446573
975,The Hollins Farm,No trend,Triassic Sandstone,Midlands,,,53.8,54.35413316,1001,0.408525337
976,Guston Farm,No trend,Lower Greensand,Southern,,,110.3,172.4868274,1001,0.059930816
977,Bass Charrington,No trend,Magnesian Limestone,North East,,,270.8,172.0717627,501,0.468153598
978,Baileys Down,No trend,Chalk,Southern,,,366.1,150.0278408,1,0.979577278
979,Spring Hall,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,74.5,115.4620178,5001,0.225470914
980,Fairfields Sandstone,Slow increasing,Triassic Sandstone,North East,no station nearby,heterogeneous trends,658.3,1045.68177,251,0.285204397
981,Fernbank,Slow increasing,Unallocated to aquifers,Midlands,no station nearby,no station nearby,1228.2,192.0117031,501,1.056183699
982,Barley Road,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,154,265.1096765,5001,0.320444416
983,St. Lawrence Laundry,No trend,Lower Greensand,Southern,,,1459.4,730.1140638,1001,0.610356951
984,New Barn Farm,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,159.3,537.2904257,1,0.947914364
985,Rougham Place,Slow decreasing,Chalk,Anglian,homogeneous trends,homogeneous trends,115.7,191.9782776,5001,0.354100158
986,Winterbourne Bassett,No trend,Chalk,Thames,,,36.5,93.11180191,51,0.875128502
987,Spurlands End,Slow increasing,Chalk,Thames,homogeneous trends,homogeneous trends,440.2,808.424852,101,0.912358182
988,Newhouse Farm,Sudden upward change,Chalk,Thames,,,239,590.2671844,101,0.092396437
989,Heath Cottage,No trend,Chalk,Anglian,,,98.7,120.4650381,5001,0.227200981
990,Shaftenhoe,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,154,111.3444539,5001,0.100143324
991,London Road Sittingbourne,No trend,Chalk,Southern,,,90.7,539.6837227,251,0.280920491
992,Hulls Mill Farm,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,42.1,256.8493474,1001,0.349428858
993,Meres Farm,No trend,Corallian Limestone,Southern,,,107.9,174.087199,501,0.115752899
994,Beach Road,Sudden downward change,Unallocated to aquifers,Southern,,,233.8,364.5798265,1001,0.604861213
995,Millbank College,Slow increasing,Triassic Sandstone,North West,homogeneous trends,homogeneous trends,5777.6,4951.735719,101,0.631997835
997,Home Mere,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,65.6,66.11605196,5001,0.400248155
998,Able Bridge,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,118,226.6245104,51,0.772785862
999,North Thoresby,No trend,Chalk,Anglian,,,68.9,74.5290006,1001,0.307201936
1000,West Tytherley,No trend,Chalk,Southern,,,45,61.51200295,1,0.84953939
1001,Quarrendon Mill,Slow increasing,Chalk,Thames,homogeneous trends,homogeneous trends,447.7,610.8761684,101,0.689650539
1002,Beadlam Grange,Slow increasing,Corallian Limestone,North East,heterogeneous trends,heterogeneous trends,20.2,20.45794202,751,0.091059789
1003,Upper Enham,No trend,Chalk,Southern,,,580.4,527.1409666,1,0.750317101
1004,Newbury,No trend,Chalk,Thames,,,2427.6,851.3502132,51,0.751286064
1005,Westmill,No trend,Chalk,Thames,,,1160.7,726.4306108,101,0.370486693
1006,Store Road,No trend,Chalk,Thames,,,3378.8,7437.985778,1001,0.015458761
1007,Brackenwood Wirral,Slow increasing,Triassic Sandstone,North West,heterogeneous trends,heterogeneous trends,1034.9,1731.55308,101,0.483251969
1008,Crathorne Grange,No trend,Triassic Sandstone,North East,,,32,213.1567958,251,0.331892042
1009,Ellerdine Grange,No trend,Permian Sandstone,Midlands,,,110.7,77.6870882,1001,0.376434079
1010,Abridge,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,332.9,865.5125239,1001,0.060858426
1011,Kettlebaston,No trend,Chalk,Anglian,,,64.3,68.89797366,1001,0.081873971
1012,Grove Farm Seamer,No trend,Corallian Limestone,North East,,,327.8,339.9839093,751,0.496081339
1013,Stores Cottage,No trend,Triassic Sandstone,Midlands,,,63.4,76.48555505,101,0.596847383
1014,Pear Tree Cottage,No trend,Lower Greensand,Southern,,,227.2,159.9525901,1001,0.548078717
1015,King Georges Field Folkestone,Slow increasing,Lower Greensand,Southern,homogeneous trends,homogeneous trends,231.1,276.6995531,251,0.787252087
1016,King Georges Field Hythe,No trend,Lower Greensand,Southern,,,231.1,276.6410566,251,0.787252087
1017,Wolverton Townsend,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,99.4,205.2606717,51,0.117519503
1018,Kings Wood,No trend,Oolites,Thames,,,122.7,123.511315,51,0.510989132
1019,Fairford FC,Sudden upward change,Oolites,Thames,,,141.4,116.1468704,251,0.550858363
1020,Downhill,Slow decreasing,Fell Sandstone& Border Group,North East,no station nearby,no station nearby,4322.9,2321.403021,1,0.233103379
1021,Diamond Hall,Slow increasing,Magnesian Limestone,North East,heterogeneous trends,heterogeneous trends,74.2,104.4438464,251,0.379649611
1023,St Marys School,No trend,Chalk,Thames,,,165.5,387.1723075,101,0.750344073
1024,Kingstanding,No trend,Corallian Limestone,Southern,,,67.5,203.4952246,251,0.741352731
1025,Quay Lane,No trend,Crag,Anglian,,,76.1,80.59458269,2501,0.425450423
1026,Middleton Carr,No trend,Corallian Limestone,North East,,,21.5,34.34434886,751,0.367576336
1027,Came Estate Dairy,No trend,Chalk,South West,,,67.6,335.7865376,101,1.387642015
1028,Stodmarsh Court,No trend,Oolites,Southern,,,110.5,216.7546891,1001,0.228242477
1029,Red Lodge,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,25.2,103.7535873,5001,0.429077683
1030,Warren Farm 508,No trend,Unallocated to aquifers,Midlands,,,70.1,219.438371,1001,0.468274834
1031,Barton le Street,No trend,Triassic Sandstone,North East,,,32.4,30.99600402,751,0.603073098
1032,Missenden Abbey,No trend,Chalk,Thames,,,510.7,348.1356988,101,0.871353881
1033,Park Corner Farm,Slow increasing,Chalk,Thames,no station nearby,heterogeneous trends,281.2,269.4804347,251,0.112426085
1034,Haynes Farm,Slow increasing,Lower Greensand,Southern,heterogeneous trends,homogeneous trends,436.2,237.7272637,1001,0.84206934
1035,Hill Farm Epperstone,Sudden upward change,Triassic Sandstone,Midlands,,,130.9,192.3594495,1001,0.092030658
1036,Bilsthorpe,Slow increasing,Triassic Sandstone,Midlands,heterogeneous trends,homogeneous trends,87.7,128.0383472,2501,0.391151486
1037,Farningham,Slow increasing,Chalk,Southern,heterogeneous trends,homogeneous trends,195.1,511.8445763,1,0.598318193
1038,Lower Rock Farm,Slow increasing,Triassic Sandstone,North West,heterogeneous trends,homogeneous trends,56.7,60.6091137,101,0.369560839
1039,Dedham,Slow increasing,Chalk,Anglian,no station nearby,homogeneous trends,151.2,159.2990204,1001,0.310263053
1040,Bledlow Ridge,No trend,Chalk,Thames,,,74.8,185.7587979,51,0.773561549
1041,Cranwell,No trend,Oolites,Anglian,,,102.3,140.1891738,751,0.236411394
1042,Whixley Sandstone,Slow increasing,Triassic Sandstone,North East,no station nearby,heterogeneous trends,55.3,65.56313466,251,0.213523846
1043,Frith Lane End,Slow decreasing,Chalk,Southern,homogeneous trends,homogeneous trends,234.8,227.1392574,101,0.114215436
1044,Hyde Hall Farm,No trend,Chalk,Thames,,,46.9,87.10273694,101,0.111359847
1045,West Hill Village Hall,No trend,Triassic Sandstone,South West,,,264.1,168.1443766,51,0.883651053
1046,Icknield Way,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,154,124.7538345,5001,0.291309663
1047,Rew Corner,Slow increasing,Chalk,South West,heterogeneous trends,heterogeneous trends,67.6,232.9811951,101,1.51709046
1048,Granny Bards Lane,No trend,Chalk,Anglian,,,132.5,387.4484905,1001,0.421281718
1049,Pella Farm,No trend,Triassic Sandstone,Midlands,,,227.5,112.2334733,101,0.607266673
1050,Walderton,Slow decreasing,Chalk,Southern,homogeneous trends,homogeneous trends,93.2,136.8682184,1001,1.013352029
1051,Fairford,Slow increasing,Oolites,Thames,heterogeneous trends,homogeneous trends,141.4,105.8806296,51,0.688907536
1052,Droke Hanger,Slow increasing,Chalk,Southern,heterogeneous trends,homogeneous trends,75.3,76.00275925,1001,1.070198078
1053,IBM Greenford,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,3064.3,6295.557297,101,0.061230949
1054,Broken Green,No trend,Chalk,Thames,,,157.9,156.6402719,101,0.592676697
1055,Fouralls,No trend,Permian Sandstone,Midlands,,,70.1,223.6184611,1001,0.411768497
1056,Alresford Road Avington,No trend,Chalk,Southern,,,85,129.4738035,1,1.058097331
1057,Coldblow,Slow decreasing,Lower Greensand,Southern,heterogeneous trends,homogeneous trends,436.2,218.4295999,1001,0.721395833
1058,Pyecombe Stables,Slow increasing,Chalk,Southern,homogeneous trends,homogeneous trends,784.2,816.7921726,1,1.362809229
1059,Berryfield Cottage,Slow decreasing,Lower Greensand,Southern,homogeneous trends,homogeneous trends,376.6,284.2862104,251,0.886712036
1060,Walshford Sandstone,No trend,Triassic Sandstone,North East,,,55.3,129.629063,251,0.435094037
1061,Greatwell,No trend,Triassic Sandstone,South West,,,264.1,215.5568407,51,1.008194293
1062,Herrings Farm,No trend,Corallian Limestone,Southern,,,62.7,83.60456091,1,1.173922809
1063,Woodleys,No trend,Triassic Sandstone,South West,,,113,272.4778756,51,1.001553705
1064,Chilton Farm,No trend,Chalk,Southern,,,210.7,562.021809,1001,0.959753107
1067,Wallend,Slow increasing,Chalk,Southern,no station nearby,heterogeneous trends,220.1,794.6922494,251,0.04698424
1068,Ewelme,Slow decreasing,Chalk,Thames,homogeneous trends,homogeneous trends,128.4,157.4400117,251,0.501735758
1069,Lone Barn,No trend,Chalk,Southern,,,61,74.72152856,1,0.944769702
1070,Bicknor Park,No trend,Chalk,Southern,,,98.7,164.2806072,251,0.719632348
1071,Poplar Farm,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,127.8,131.7247587,1001,0.085216086
1072,Bodham Hill,No trend,Chalk,Anglian,,,47.8,146.4778262,1001,0.588495347
1073,Whistley Green,Slow increasing,Chalk,Thames,no station nearby,homogeneous trends,1449.3,1059.296499,251,0.068115519
1074,Standard Hill Farm,No trend,Chalk,Southern,,,74.2,141.18949,1001,0.910951886
1075,Woodgreen,No trend,Chalk,South West,,,78.7,85.28728432,51,0.15875413
1076,Staffield,No trend,Carboniferous Limestone,North West,,,15.2,20.81990329,1,1.565887509
1077,Hawgreen 3,No trend,Permian Sandstone,Midlands,,,70.1,68.94247449,1001,0.399481969
1078,Ollerton,No trend,Permian Sandstone,Midlands,,,70.1,70.36849901,1001,0.384953333
1079,Parsons,Slow increasing,Triassic Sandstone,South West,heterogeneous trends,heterogeneous trends,1550.8,191.1405449,51,0.098486772
1080,Scremby,Sudden downward change,Spilsby Sandstone,Anglian,,,20.3,56.37248794,751,0.267469096
1082,Hundon,No trend,Lower Greensand,Anglian,,,75.3,71.24739972,1001,0.0821738
1083,The Sycamores,Slow decreasing,Magnesian Limestone,North East,homogeneous trends,homogeneous trends,74.2,224.3317728,251,0.330839204
1084,Lunways Inn,Slow increasing,Chalk,Southern,heterogeneous trends,homogeneous trends,76.5,83.63436323,1,0.762808034
1085,Ford Farm Cottages,No trend,Chalk,Thames,,,199.1,177.2995024,251,0.822859622
1086,East Herrington,Sudden upward change,Fell Sandstone& Border Group,North East,,,1847.8,1929.875398,1,0.123075023
1087,Lechlade Ski Jump,No trend,Oolites,Thames,,,141.4,126.6717896,251,0.585185897
1088,Patshull,No trend,Triassic Sandstone,Midlands,,,352.5,226.0021415,1001,0.534420999
1089,Orchard Dene Cottage,No trend,Chalk,Thames,,,147.8,456.0869223,251,0.587571565
1090,Newbald Lodge,Slow increasing,Triassic Sandstone,North East,no station nearby,heterogeneous trends,73.5,106.1575167,51,0.64226029
1091,Firle Village,No trend,Chalk,Southern,,,88.4,141.4032062,1,0.944813366
1092,Russells Farm,No trend,Chalk,Southern,,,74,129.6632918,101,0.988701421
1093,River Hill,No trend,Chalk,Thames,,,116.2,362.0739649,101,0.647919021
1094,Burton Shutts,Sudden upward change,Triassic Sandstone,Midlands,,,48.3,68.19562529,51,0.938602743
1096,Well Place,Slow decreasing,Chalk,Thames,homogeneous trends,homogeneous trends,128.4,162.4007966,251,0.419525379
1097,Summerdown Farm,No trend,Chalk,South West,,,36.5,48.6876546,51,0.783401492
1098,The Holt,No trend,Chalk,Thames,,,91.7,269.1562713,101,0.56076169
1099,Lower Barpham,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,122.7,167.9175227,1001,1.181328672
1100,Hughenden Church,No trend,Chalk,Thames,,,440.2,1385.177262,51,0.750029657
1101,Conholt House,Slow decreasing,Chalk,Southern,homogeneous trends,homogeneous trends,36.5,72.17095448,1,1.070163908
1102,Dalesdown,Slow increasing,Chalk,Southern,heterogeneous trends,homogeneous trends,78.8,107.9324409,1001,1.196321978
1103,Stoke Holy Cross,No trend,Chalk,Anglian,,,170.8,323.8592544,1001,0.303512295
1104,Waterditch Farm,No trend,Lower Greensand,Southern,,,98.7,95.22164754,251,0.805405792
1106,Minchinhampton,Slow increasing,Triassic Sandstone,Midlands,no station nearby,homogeneous trends,276.2,257.1980328,101,0.853739079
1107,Butchers Lane,Slow increasing,Chalk,Southern,heterogeneous trends,homogeneous trends,75.3,86.83694097,1001,0.95314836
1108,Stein Refractories,No trend,Triassic Sandstone,Midlands,,,295.7,237.4103281,1001,0.275942814
1109,Chalkpit Farm,No trend,Chalk,Anglian,,,74.5,86.32642381,5001,0.075765246
1110,Poplars Nursery,Slow increasing,Lower Greensand,Anglian,no station nearby,homogeneous trends,162.4,309.6497938,251,0.448410224
1111,Carrholme Bridge,No trend,Triassic Sandstone,North East,,,50.3,54.57528663,251,0.311760887
1112,Hamsey Place Farm,No trend,Chalk,Southern,,,123.5,299.3603126,1,1.066955726
1113,Mace Farm,No trend,Chalk,Southern,,,558.1,608.8681494,1,0.855974154
1114,Bix Hall,Slow decreasing,Chalk,Thames,heterogeneous trends,homogeneous trends,104,170.3696985,251,0.7170943
1115,Top Plantation,No trend,Triassic Sandstone,North East,,,73.5,296.0827605,51,0.625298194
1116,Hodcott 2,No trend,Chalk,Thames,,,53.7,85.62966978,51,0.735953616
1117,Stoke Bridge,No trend,Unallocated to aquifers,Midlands,,,70.1,65.90009289,1001,0.568901081
1119,Thorpe on the Hill,No trend,Triassic Sandstone,Anglian,,,114.2,324.7935385,751,0.022331525
1120,Maharajas Well,No trend,Chalk,Thames,,,172.7,136.8136205,251,0.693322549
1121,Skillington,No trend,Oolites,Anglian,,,48.8,48.53513458,751,0.41398672
1122,My Lords Farm,Slow decreasing,Chalk,Anglian,heterogeneous trends,heterogeneous trends,51.1,63.07411795,5001,0.471628962
1123,Whitters Copse,No trend,Lower Greensand,Southern,,,54,100.1635266,1001,0.958459725
1124,Charterhouse,No trend,Lower Greensand,Thames,,,2380.8,583.1485886,501,0.57878356
1125,Allans Farm,No trend,Crag,Anglian,,,57.4,69.73540592,1001,0.289071611
1126,Brookside Blewbury,No trend,Chalk,Thames,,,147.8,428.1710395,251,0.550996609
1127,Upgate Common,No trend,Chalk,Anglian,,,55,210.7575057,1001,0.425396618
1128,Westmeston St Martin,No trend,Chalk,Southern,,,87.1,350.7638831,1,1.535798872
1129,Moddershall,Sudden downward change,Triassic Sandstone,Midlands,,,101.5,400.9129075,251,0.674657469
1130,City Hospital Nottingham,Slow increasing,Triassic Sandstone,Midlands,heterogeneous trends,homogeneous trends,4332.3,3800.041365,1001,0.40371185
1131,Kingsclere,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,99.4,128.0630604,51,0.120747425
1132,Ford Lane,No trend,Triassic Sandstone,North West,,,56.7,59.94043393,101,0.358439839
1133,Monks Lane Corpusty,No trend,Chalk,Anglian,,,47.8,70.59577729,1001,0.56327385
1134,West Layton Farm,Slow increasing,Magnesian Limestone,North East,heterogeneous trends,homogeneous trends,74.2,101.4537538,251,0.269916073
1136,Compton Shepherds Hill,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,53.7,117.4996093,51,0.718933788
1137,Warren Farm,No trend,Chalk,Southern,,,76.5,80.82547211,1,0.664869759
1138,Cherry Tree,No trend,Triassic Sandstone,Midlands,,,159.7,230.1268249,2501,0.212911798
1139,Thornton Farm,Slow increasing,Unallocated to aquifers,North East,no station nearby,no station nearby,33,32.86557686,1,0.387944414
1140,Maidens Bower,Sudden upward change,Triassic Sandstone,North West,,,424.1,2543.201535,101,0.552283657
1142,Ashton,Sudden upward change,Triassic Sandstone,North West,,,376.7,205.7619533,101,0.539072848
1146,Abbey Arms Wood,Slow increasing,Triassic Sandstone,North West,homogeneous trends,homogeneous trends,94.9,164.99278,1,0.627098557
1147,Three Bridges Saltfleetby,No trend,Chalk,Anglian,,,115.1,89.2042126,751,0.03799867
1148,Crofton Farm Burbage,No trend,Chalk,Thames,,,36.5,37.85776454,51,0.616803023
1149,Kelham Hills,Slow decreasing,Triassic Sandstone,Midlands,no station nearby,homogeneous trends,99,193.7679847,1001,0.169086489
1151,Thurroclean,Slow increasing,Triassic Sandstone,North West,heterogeneous trends,heterogeneous trends,1130.6,2957.877331,101,0.349234831
1152,Broughton,No trend,Triassic Sandstone,North East,,,32.4,189.5496895,751,0.49661599
1153,Teynham,No trend,Chalk,Southern,,,90.7,360.2652316,251,0.232418756
1155,Burlington,Slow increasing,Triassic Sandstone,Midlands,heterogeneous trends,homogeneous trends,175.8,140.9669954,1001,0.600718567
1156,Slough Grand Union,Slow increasing,Lower Greensand,Thames,no station nearby,no station nearby,6302,2352.467613,251,0.394366026
1157,Bleak Cottage,Slow increasing,Chalk,Southern,homogeneous trends,homogeneous trends,244.9,708.792423,101,0.095959092
1158,Luxborough Lane,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,501,3564.808955,1001,0.061973183
1159,Saltend,No trend,Chalk,North East,,,349.2,825.5010108,51,0
1160,Kinley Hill,No trend,Magnesian Limestone,North East,,,264.5,869.6839097,1,0.323261131
1161,Chalfont St Giles,Slow increasing,Chalk,Thames,homogeneous trends,homogeneous trends,617.2,647.6578269,101,0.530559736
1162,Cliff Lane,No trend,Oolites,Anglian,,,586.2,678.2816251,751,0.377495384
1163,Sedgeford,No trend,Chalk,Anglian,,,120.2,123.8243224,1001,0.336224411
1164,Peterlee,Sudden upward change,Magnesian Limestone,North East,,,357.3,641.5430091,1,0.427664857
1165,Osborne Road,Sudden downward change,Unallocated to aquifers,North East,,,1618.4,210.9220838,1,0.375287431
1166,Avenue Small Farm,No trend,Permian Sandstone,Midlands,,,70.1,69.00635084,1001,0.399481969
1167,Hackthorne,No trend,Oolites,Anglian,,,93,69.73552328,751,0.247837961
1168,The Causeway Occold,Slow increasing,Chalk,Anglian,no station nearby,heterogeneous trends,69.6,64.23502803,1001,0.257762476
1169,Alstonfield,Slow increasing,Carboniferous Limestone,Midlands,no station nearby,homogeneous trends,27.6,34.95021758,51,1.960641361
1170,Uffcott,No trend,Chalk,Thames,,,36.5,145.2161373,51,0.845809533
1171,Swanbourne South,No trend,Chalk,Southern,,,78.8,185.7561443,1001,0.111093774
1172,Eggarton Manor,No trend,Chalk,Southern,,,100.2,109.3453851,1001,0.702175204
1173,Alciston,No trend,Lower Greensand,Southern,,,115.7,145.4687871,1,1.037826282
1174,Chale,Sudden upward change,Lower Greensand,Southern,,,75.9,87.94324574,251,0.871190589
1175,Holt Lowes Plantation,No trend,Chalk,Anglian,,,134.2,70.37686517,5001,0.508207146
1176,Foxton,No trend,Chalk,Anglian,,,216.2,154.2492909,5001,0.197601415
1177,Owlhill,Slow decreasing,Triassic Sandstone,Midlands,homogeneous trends,homogeneous trends,159,161.8043022,1001,0.47487867
1178,South Charford Farm,No trend,Chalk,South West,,,78.7,97.25297179,51,1.079561856
1179,Akeman Street,No trend,Chalk,Thames,,,292.2,299.3409963,51,0.58818604
1180,Neasden,Slow increasing,Chalk,Thames,heterogeneous trends,homogeneous trends,6126.2,7232.6589,101,0.064054718
1181,Longridge End,Slow increasing,Unallocated to aquifers,North East,no station nearby,no station nearby,33,53.24833434,1,0.396864553
1182,Wolverton,Slow increasing,Chalk,Southern,heterogeneous trends,heterogeneous trends,210.7,505.6535332,1001,0.904156842
1183,Hayes Cottage,Slow increasing,Chalk,South West,no station nearby,homogeneous trends,44.7,45.26863683,101,1.390353635
1184,Stitches Farm,No trend,Corallian Limestone,Southern,,,63.4,253.3048114,251,1.329138694
1185,Derwent Ford,Slow increasing,Corallian Limestone,North East,no station nearby,heterogeneous trends,65,247.8372925,751,0.086397127
1186,Runfold,Slow increasing,Lower Greensand,Thames,no station nearby,homogeneous trends,602.1,1129.147492,251,0.599423784
1188,East Halton,No trend,Chalk,Anglian,,,61.7,108.5612305,1001,0.257800165
1189,Barton Hill Farm,No trend,Chalk,Thames,,,213.8,798.9376511,101,0.390104718
1190,Erlands House,No trend,Chalk,Thames,,,374.8,555.1895757,251,0.092812375
1191,Robin House,Sudden upward change,Fell Sandstone& Border Group,North East,,,265.9,751.1091719,1,0.429050678
1192,Claughton House,No trend,Carboniferous Limestone,North West,,,68.9,133.5838073,1,1.03391579
1193,Grimston Carr,No trend,Lower Greensand,Anglian,,,56.3,58.8173753,1001,0.6107016
1194,Highfield Farm Flamstead,Slow increasing,Chalk,Thames,homogeneous trends,homogeneous trends,116.2,424.6356791,101,0.647919021
1195,Elsenham Nurseries,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,212.4,179.0472696,5001,0.089334475
1196,Shifnal Upton Farm,Sudden upward change,Permian Sandstone,Midlands,,,175.8,310.9862142,1001,0.52822652
1197,Well House,No trend,Lower Greensand,Southern,,,257.2,667.3795108,251,0.570752727
1198,Archers Pond,Slow increasing,Triassic Sandstone,North East,heterogeneous trends,heterogeneous trends,48.2,53.37724178,251,0.205619239
1200,Barretts Hall,Slow decreasing,Chalk,Anglian,heterogeneous trends,homogeneous trends,42.1,228.9842627,1001,0.349428858
1202,Grange Farm Debenham,No trend,Crag,Anglian,,,57.4,58.98650718,2501,0.087016663
1203,Bell lane,Slow increasing,Carboniferous Limestone,North West,heterogeneous trends,homogeneous trends,68.9,128.3713113,1,1.019745614
1204,Tichborne,No trend,Chalk,Southern,,,88.2,86.99334589,1,1.01390801
1205,Little Witley,No trend,Triassic Sandstone,Midlands,,,74.7,80.04593518,251,0.550831868
1206,Broadoak,No trend,Permian Sandstone,Midlands,,,55,562.1572367,251,0.361860353
